,budget,company,director,genre,domestic_revenue_usd,name_domestic,rating,released,runtime,score,star,votes,writer
401,0,Mrs. White's Productions,Donald Cammell,Horror,225132,White of the eye,R,5/20/88,100,6.4,David Keith,1342,China Kong
402,0,New Century Entertainment Corporation,Rick Rosenthal,Drama,2189047,Russkies,PG,11/6/87,100,5.6,Whip Hubley,1126,Sheldon Lettich
403,15000000,Cannon Group,Jerry Belson,Comedy,5711976,Surrender,PG,10/9/87,105,5.4,Sally Field,692,Jerry Belson
404,0,Columbia Pictures Corporation,Bill Forsyth,Comedy,1083282,Housekeeping,PG,1988-01,116,7.3,Christine Lahti,1596,Marilynne Robinson
405,0,Kennedy Miller Productions,John Duigan,Drama,213901,The year my voice broke,PG-13,10/17/87,103,7.5,Noah Taylor,1647,John Duigan
406,0,DGS Productions,Douglas Grossman,Crime,187920,Hell high,R,5/12/89,84,5.0,Maureen Mooney,464,Leo Evans
407,0,Alexandre Films,Diane Kurys,Drama,949451,A man in love,R,1987-09,125,5.8,Peter Coyote,442,Diane Kurys
408,0,De Laurentiis Entertainment Group (DEG),Bob Clark,Comedy,9518342,From the hip,PG,2/6/87,111,6.2,Judd Nelson,1826,Bob Clark
409,0,Northern,Armyan Bernstein,Comedy,1025762,Cross my heart,R,11/13/87,90,5.7,Martin Short,883,Armyan Bernstein
410,0,Lorimar Film Entertainment,Robert Mandel,Adventure,3390043,Big shots,PG-13,10/2/87,94,5.6,Ricky Busker,654,Joe Eszterhas
411,14000000,Paramount Pictures,Michael Apted,Comedy,20240502,Critical condition,R,1/16/87,100,5.2,Richard Pryor,2453,Denis Hamill
412,0,Cinetel Films,Fred Olen Ray,Action,41174,Cyclone,R,6/5/87,89,4.4,Heather Thomas,692,Paul Garson
413,0,Kings Road Entertainment,Paul Aaron,Comedy,2136381,Morgan stewart's coming home,PG-13,2/20/87,100,5.4,Jon Cryer,768,Ken Hixon
414,0,Cinetel Films,Dorothy Ann Puzo,Action,285885,Cold steel,R,4/9/88,91,4.5,Brad Davis,592,Lisa M. Hansen
415,0,Cinema Group,Ron Link,Comedy,21905,Zombie high,R,10/2/87,93,4.2,Virginia Madsen,716,Tim Doyle
416,0,Aljosha,Federico Fellini,Comedy,112560,Intervista,Not specified,11/6/92,100,7.1,Sergio Rubini,1926,Federico Fellini
417,0,New Line Cinema,Charlie Loventhal,Comedy,3922273,My demon lover,PG-13,4/24/87,90,4.6,Scott Valentine,945,Leslie Ray
418,0,"Cannon Group, The",David Irving,Fantasy,355253,Rumpelstiltskin,G,1987-04,84,5.4,Amy Irving,444,Jacob Grimm
419,0,Apollo Pictures,Lee H. Katzin,Action,307000,World gone wild,R,4/22/88,100,5.2,Bruce Dern,543,Jorge Zamacona
420,0,Millennial,Peter Manoogian,Action,197791,Enemy territory,R,5/22/87,89,6.5,Gary Frank,570,Stuart Kaminsky
421,0,RAI Radiotelevisione Italiana,Peter Del Monte,Drama,901364,Julia and julia,R,2/5/88,98,5.7,Kathleen Turner,667,Peter Del Monte
422,0,Centre du CinÈma et de l'Audiovisuel de la FÈdÈration Wallonie-Bruxelles,Dominique Deruddere,Drama,119919,Crazy love,Not specified,1987,90,7.0,Josse De Pauw,949,Charles Bukowski
423,12000000,De Laurentiis Entertainment Group (DEG),John D. Hancock,Drama,2325444,Weeds,R,10/16/87,115,6.0,Nick Nolte,717,Dorothy Tristan
424,0,Flach Film,Jean-Loup Hubert,Drama,760539,The grand highway,R,3/25/87,104,7.5,AnÈmone,1208,Jean-Loup Hubert
425,0,Laughing Kookaburra Productions,Ken Cameron,Drama,1155020,Peter kenna's the good wife,R,5/14/87,100,5.8,Rachel Ward,435,Peter Kenna
426,0,Kings Road Entertainment,Jerry London,Action,295000,Rent-a-cop,R,1/15/88,96,4.3,Burt Reynolds,1347,Michael Blodgett
427,0,Les Films du Losange,…ric Rohmer,Comedy,823243,Boyfriends and girlfriends,PG,7/15/88,103,7.7,Emmanuelle Chaulet,2657,…ric Rohmer
428,0,Channel Four Films,Stephen Frears,Comedy,1196336,Sammy and rosie get laid,Not specified,10/30/87,101,6.7,Shashi Kapoor,1226,Hanif Kureishi
429,0,Balcor Film Investors,Terry Leonard,Action,4546244,Death before dishonor,R,2/20/87,91,4.9,Fred Dryer,659,John Gatliff
430,0,Tapestry Films,Rick King,Thriller,500283,The killing time,R,10/23/87,94,5.4,Beau Bridges,763,Don Bohlinger
431,0,Channel Four Films,Peter Richardson,Action,200723,Eat the rich,R,8/17/87,90,6.0,Al Pillay,1069,Peter Richardson
432,0,Brigade Productions,Burt Kennedy,Action,205507,The trouble with spies,PG-13,12/4/87,91,4.0,Donald Sutherland,252,Burt Kennedy
433,0,Embark Production,Joe Camp,Adventure,22257624,Benji the hunted,G,6/5/87,88,6.3,Red Steagall,2244,Joe Camp
434,0,First Take,Fred Walton,Crime,1730337,The rosary murders,R,4/14/88,105,5.7,Donald Sutherland,960,William X. Kienzle
435,0,The Swimming Company,Jonathan Demme,Comedy,1092911,Swimming to cambodia,R,1987-04,85,7.8,Spalding Gray,1763,Spalding Gray
436,0,Not specified,Jamaa Fanaka,Comedy,1392616,Penitentiary iii,R,9/4/87,90,3.7,Leon Isaac Kennedy,372,Jamaa Fanaka
437,0,Atlantic Entertainment Group,Robert Boris,Action,1327740,Steele justice,R,7/9/87,95,4.8,Sela Ward,403,Robert Boris
438,0,Compagnie Eric Rohmer (CER),…ric Rohmer,Comedy,215073,Four adventures of reinette and mirabelle,NOT RATED,7/19/89,95,7.9,JoÎlle Miquel,1331,…ric Rohmer
439,0,New World Pictures,Robert Altman,Comedy,790000,Beyond therapy,R,1987-04,93,4.7,Julie Hagerty,944,Christopher Durang
440,15000000,"Geffen Company, The",Tim Burton,Comedy,73707461,Beetlejuice,PG,3/30/88,92,7.5,Alec Baldwin,206997,Michael McDowell
441,39000000,Eddie Murphy Productions,John Landis,Comedy,128152300,Coming to america,R,6/29/88,116,7.0,Eddie Murphy,130485,Eddie Murphy
442,9000000,United Artists,Tom Holland,Horror,33244684,Child's play,R,11/9/88,87,6.6,Catherine Hicks,67682,Don Mancini
443,28000000,Twentieth Century Fox Film Corporation,John McTiernan,Action,83008852,Die hard,R,7/20/88,131,8.2,Bruce Willis,647000,Roderick Thorp
444,35000000,Metro-Goldwyn-Mayer (MGM),Ron Howard,Action,57269863,Willow,PG,5/20/88,126,7.3,Val Kilmer,86056,George Lucas
445,3000000,New World Pictures,Michael Lehmann,Comedy,1108462,Heathers,R,3/31/89,103,7.3,Winona Ryder,67238,Daniel Waters
446,25000000,United Artists,Barry Levinson,Drama,172825435,Rain man,R,12/16/88,133,8.0,Dustin Hoffman,408473,Barry Morrow
447,4000000,Alive Films,John Carpenter,Action,13008928,They live,R,11/4/88,94,7.3,Roddy Piper,83379,Ray Nelson
448,70000000,Touchstone Pictures,Robert Zemeckis,Animation,156452370,Who framed roger rabbit,PG,6/22/88,104,7.7,Bob Hoskins,153513,Gary K. Wolf
449,0,Akira Committee Company Ltd.,Katsuhiro ‘tomo,Animation,553171,Akira,R,7/16/88,124,8.1,Nozomu Sasaki,118747,Katsuhiro ‘tomo
450,18000000,American Entertainment Partners II L.P.,Penny Marshall,Comedy,114968774,Big,PG,6/3/88,104,7.3,Tom Hanks,164257,Gary Ross
451,20000000,Touchstone Pictures,Roger Donaldson,Comedy,78222753,Cocktail,R,7/29/88,104,5.8,Tom Cruise,65825,Heywood Gould
452,5000000,Cristaldifilm,Giuseppe Tornatore,Drama,11990401,Cinema paradiso,R,2/23/90,155,8.5,Philippe Noiret,171600,Giuseppe Tornatore
453,19000000,TriStar Pictures,Chuck Russell,Horror,8247943,The blob,R,8/5/88,95,6.4,Shawnee Smith,24931,Theodore Simonson
454,3500000,De Laurentiis Entertainment Group (DEG),Stan Winston,Fantasy,4385516,Pumpkinhead,R,1/13/89,86,6.2,Lance Henriksen,15572,Ed Justin
455,7500000,Metro-Goldwyn-Mayer (MGM),Charles Crichton,Comedy,63493712,A fish called wanda,R,8/5/88,108,7.6,John Cleese,114144,John Cleese
456,2000000,Sarlui / Diamant,Stephen Chiodo,Comedy,15625095,Killer klowns from outer space,PG-13,5/27/88,88,6.1,Grant Cramer,25440,Charles Chiodo
457,30000000,Universal Pictures,Martin Brest,Action,38413606,Midnight run,R,7/20/88,126,7.6,Robert De Niro,58318,George Gallo
458,3000000,Film Futures,Tony Randel,Horror,11090735,Hellbound: hellraiser ii,R,12/23/88,97,6.5,Doug Bradley,33241,Clive Barker
459,15000000,Orion Pictures,Alan Parker,Crime,34603943,Mississippi burning,R,1/27/89,128,7.8,Gene Hackman,70539,Chris Gerolmo
460,12000000,Paramount Pictures,David Zucker,Comedy,78041829,The naked gun: from the files of police squad!,PG-13,12/2/88,85,7.6,Leslie Nielsen,124515,Jerry Zucker
461,1100000,Cannon International,Newt Arnold,Action,11806119,Bloodsport,R,4/29/88,92,6.8,Jean-Claude Van Damme,63368,Sheldon Lettich
462,28000000,Twentieth Century Fox Film Corporation,Mike Nichols,Comedy,64000000,Working girl,R,12/21/88,113,6.7,Melanie Griffith,44277,Kevin Wade
463,14000000,Paramount Pictures,John Cornell,Action,109305000,Crocodile dundee ii,PG,5/25/88,108,5.5,Paul Hogan,46738,Paul Hogan
464,12500000,Universal Pictures,Don Bluth,Animation,48092846,The land before time,G,11/18/88,69,7.4,Pat Hingle,66623,Stu Krieger
465,15000000,Universal Pictures,Ivan Reitman,Comedy,111936400,Twins,PG,12/9/88,107,6.0,Arnold Schwarzenegger,94295,William Davies
466,14000000,Lorimar Film Entertainment,Stephen Frears,Drama,34700000,Dangerous liaisons,R,2/24/89,119,7.7,Glenn Close,55823,Christopher Hampton
467,17000000,The Saul Zaentz Company,Philip Kaufman,Drama,10006806,The unbearable lightness of being,R,2/5/88,171,7.4,Daniel Day-Lewis,28868,Milan Kundera
468,0,Gaumont,Luc Besson,Adventure,3500000,The big blue,R,8/19/88,168,7.6,Jean-Marc Barr,40755,Luc Besson
469,0,All Girl Productions,Garry Marshall,Comedy,57041866,Beaches,PG-13,1/13/89,123,6.8,Bette Midler,19613,Iris Rainer
470,5000000,Trancas International Films,Dwight H. Little,Horror,17768757,Halloween 4: the return of michael myers,R,10/21/88,88,5.9,Donald Pleasence,32498,Dhani Lipsius
471,13000000,Morgan Creek Productions,Christopher Cain,Action,45661556,Young guns,R,8/12/88,107,6.8,Emilio Estevez,45768,John Fusco
472,29000000,Carolco Pictures,Walter Hill,Action,34994648,Red heat,R,6/17/88,104,6.0,Arnold Schwarzenegger,53769,Walter Hill
473,6000000,Night Life Inc.,Donald Petrie,Comedy,12793213,Mystic pizza,R,10/21/88,104,6.2,Annabeth Gish,20071,Amy Holden Jones
474,63000000,Carolco Pictures,Peter MacDonald,Action,53715611,Rambo iii,R,5/25/88,102,5.7,Sylvester Stallone,99555,David Morrell
475,6000000,Paramount Pictures,Jonathan Kaplan,Drama,32069318,Acusados,R,10/14/88,111,7.1,Kelly McGillis,26126,Tom Topor
476,7000000,Universal Pictures,Martin Scorsese,Drama,7630564,The last temptation of christ,R,3/12/04,164,7.6,Willem Dafoe,42782,Nikos Kazantzakis
477,2000000,New Line Cinema,John Waters,Comedy,6671108,Hairspray,PG,2/26/88,92,7.0,Sonny Bono,17169,John Waters
478,0,Orion Pictures,Frank Oz,Comedy,42039085,Dirty rotten scoundrels,PG,12/14/88,110,7.3,Steve Martin,54129,Dale Launer
479,13000000,New Line Cinema,Renny Harlin,Horror,49369899,A nightmare on elm street 4: the dream master,R,8/19/88,93,5.7,Robert Englund,39701,Wes Craven
480,0,American Playhouse,RamÛn MenÈndez,Drama,13994920,Stand and deliver,PG,3/11/88,103,7.3,Edward James Olmos,13270,RamÛn MenÈndez
481,24000000,Hughes Entertainment,Howard Deutch,Comedy,41455230,The great outdoors,PG,6/17/88,91,6.6,Dan Aykroyd,31340,John Hughes
482,0,DDM Film Corporation,Zalman King,Drama,1547397,Two moon junction,R,4/29/88,104,5.0,Sherilyn Fenn,4303,Zalman King
483,7000000,The Mount Company,Ron Shelton,Comedy,50888729,Bull durham,R,6/15/88,108,7.1,Kevin Costner,39369,Ron Shelton
484,7500000,Warner Bros.,Andrew Davis,Action,18869631,Above the law,R,4/22/88,99,6.0,Steven Seagal,24061,Andrew Davis
485,10000000,De Laurentiis Entertainment Group (DEG),Julien Temple,Comedy,3916303,Earth girls are easy,PG,5/12/89,100,5.2,Geena Davis,17315,Julie Brown
486,31000000,Walt Disney Feature Animation,George Scribner,Animation,74151346,Oliver & company,G,11/18/88,74,6.7,Joey Lawrence,35531,Jim Cox
487,31000000,Warner Bros.,Buddy Van Horn,Action,37903295,The dead pool,R,7/13/88,91,6.3,Clint Eastwood,33312,Harry Julian Fink
488,7500000,NBC Productions,James Signorelli,Comedy,5596267,Elvira: mistress of the dark,PG-13,9/30/88,96,6.4,Cassandra Peterson,9751,Sam Egan
489,32000000,Paramount Pictures,Richard Donner,Comedy,60328558,Scrooged,PG-13,11/23/88,101,7.0,Bill Murray,68098,Mitch Glazer
490,23000000,Cinema City Films,Robert Towne,Crime,41292551,Tequila sunrise,R,12/2/88,115,6.0,Mel Gibson,24708,Robert Towne
491,20000000,Warner Bros.,Roman Polanski,Crime,17637950,Frantic,R,2/26/88,120,6.9,Harrison Ford,41608,Roman Polanski
492,2800000,Paramount Pictures,John Carl Buechler,Horror,19170001,Friday the 13th part vii: the new blood,R,5/13/88,88,5.3,Jennifer Banko,23959,Daryl Haney
493,8000000,Twentieth Century Fox Film Corporation,Greg Beeman,Comedy,22433275,License to drive,PG-13,7/6/88,88,6.3,Corey Haim,14929,Neil Tolkin
494,46630000,Prominent Features,Terry Gilliam,Adventure,8083123,The adventures of baron munchausen,PG,3/10/89,126,7.2,John Neville,43852,Charles McKeown
495,13000000,Morgan Creek Productions,David Cronenberg,Drama,9134733,Dead ringers,R,9/23/88,116,7.3,Jeremy Irons,32130,David Cronenberg
496,10500000,Metro-Goldwyn-Mayer (MGM),Gary Sherman,Horror,14114488,Poltergeist iii,PG-13,6/10/88,98,4.6,Heather O'Rourke,14165,Gary Sherman
497,7500000,Vista Organization,Tommy Lee Wallace,Comedy,2983784,Fright night part 2,R,5/19/89,104,5.9,William Ragsdale,9005,Tom Holland
498,3000000,Front Films,Keenen Ivory Wayans,Action,13030057,I'm gonna git you sucka,R,2/23/89,88,6.6,Keenen Ivory Wayans,10455,Keenen Ivory Wayans
499,22000000,Zacharias-Buhai Productions,Bud S. Smith,Comedy,17550399,Johnny be good,R,3/25/88,91,4.5,Anthony Michael Hall,5006,Steve Zacharias
500,1100000,Shapiro-Glickenhaus Entertainment,William Lustig,Action,671382,Maniac cop,R,5/13/88,85,6.0,Tom Atkins,10850,Larry Cohen
501,10000000,Orion Pictures,Jonathan Demme,Comedy,21486757,Married to the mob,R,8/19/88,104,6.1,Michelle Pfeiffer,13416,Barry Strugatz
502,6000000,Orion Pictures,Dennis Hopper,Action,46616067,Colors,R,4/29/88,120,6.7,Sean Penn,20490,Michael Schiffer
503,17000000,Vision PDG,Neil Jordan,Comedy,8578231,El hotel de los fantasmas,PG-13,11/18/88,99,5.7,Peter O'Toole,6979,Neil Jordan
504,3000000,Double Play,Sidney Lumet,Crime,2835116,Running on empty,PG-13,9/9/88,116,7.7,River Phoenix,11312,Naomi Foner
505,1200000,Blue Rider Pictures,Kevin Tenney,Comedy,3109904,Night of the demons,R,10/14/88,90,6.3,Cathy Podewell,9897,Joe Augustyn
506,13000000,Mac and Me Joint Venture,Stewart Raffill,Adventure,6424112,Mac and me,PG,8/12/88,95,3.4,Christine Ebersole,8043,Stewart Raffill
507,4500000,New Line Cinema,Mick Garris,Comedy,3813293,Critters 2,PG-13,4/29/88,86,5.3,Scott Grimes,11122,David Twohy
508,20000000,Weintraub Entertainment Group,Richard Benjamin,Comedy,13854000,My stepmother is an alien,PG-13,12/9/88,105,5.2,Dan Aykroyd,22281,Jerico
509,6200000,Lorimar Film Entertainment,Ken Wiederhorn,Comedy,9205924,Return of the living dead ii,R,1/15/88,89,5.8,James Karen,14998,Ken Wiederhorn
510,0,TriStar Pictures,Kenneth Johnson,Comedy,21630088,Short circuit 2,PG,7/6/88,110,5.6,Fisher Stevens,19841,Brent Maddock
511,22000000,Universal Pictures,Michael Apted,Biography,24720479,Gorillas in the mist,PG-13,10/7/88,129,7.0,Sigourney Weaver,20378,Harold T.P. Hayes
512,2000000,Magellan Pictures,Robert Bierman,Comedy,725131,Vampire's kiss,R,6/2/89,103,5.9,Nicolas Cage,10474,Joseph Minion
513,0,Island Pictures,William Richert,Comedy,6264058,A night in the life of jimmy reardon,R,2/26/88,90,5.5,River Phoenix,2177,William Richert
514,0,Metro-Goldwyn-Mayer (MGM),Michael Hoffman,Comedy,401421,Some girls,R,9/9/88,94,6.0,Patrick Dempsey,2369,Rupert Walters
515,2500000,White Lair,Ken Russell,Comedy,1189315,The lair of the white worm,R,10/21/88,93,5.9,Amanda Donohoe,7908,Ken Russell
516,0,Vestron Pictures,Anthony Hickox,Comedy,808114,Waxwork,R,6/17/88,95,6.2,Zach Galligan,8703,Anthony Hickox
517,7000000,Universal Pictures,Wes Craven,Fantasy,19595031,The serpent and the rainbow,R,2/5/88,98,6.5,Bill Pullman,18528,Wade Davis
518,5000000,Columbia Pictures Corporation,Ken Annakin,Family,3569939,Las travesuras de una pelirojja,G,7/29/88,100,5.9,Tami Erin,3474,Astrid Lindgren
519,6000000,Orion Pictures,John Sayles,Drama,5680515,Eight men out,PG,9/2/88,119,7.3,John Cusack,15946,Eliot Asinof
520,4700000,New Sky Communications Inc.,Frank LaLoggia,Fantasy,1705139,Lady in white,PG-13,4/22/88,113,6.7,Lukas Haas,5135,Frank LaLoggia
521,700000,Laurenfilm,Pedro AlmodÛvar,Comedy,7179298,Women on the verge of a nervous breakdown,R,11/11/88,88,7.6,Carmen Maura,27755,Pedro AlmodÛvar
522,0,Paramount Pictures,John Hughes,Comedy,16031707,She's having a baby,PG-13,2/5/88,106,5.8,Kevin Bacon,9676,John Hughes
523,3000000,Spacegate Productions,Don Coscarelli,Action,7282851,Phantasm ii,R,7/8/88,97,6.5,James Le Gros,10789,Don Coscarelli
524,25000000,United Artists,James Bridges,Drama,16118077,Luces de una gran ciudad,R,4/1/88,107,5.6,Michael J. Fox,6165,Jay McInerney
525,0,Paramount Pictures,Peter Hyams,Action,20036242,The presidio,R,6/10/88,97,6.0,Sean Connery,13900,Larry Ferguson
526,0,Touchstone Pictures,Jim Abrahams,Comedy,40150487,Big business,PG,6/10/88,97,6.3,Bette Midler,9728,Dori Pierson
527,7000000,Orion Pictures,George A. Romero,Drama,5344577,Monkey shines,R,7/29/88,113,6.2,Jason Beghe,8595,Michael Stewart
528,19000000,Cornelius Productions,George Roy Hill,Comedy,25537221,Funny farm,PG,6/3/88,101,6.1,Chevy Chase,16321,Jay Cronley
529,0,Incorporated Television Company (ITC),Thom Eberhardt,Comedy,8539181,Without a clue,PG,10/21/88,107,7.0,Michael Caine,7846,Gary Murphy
530,16000000,American Entertainment Partners II L.P.,Graham Baker,Action,25216243,Alien nation,R,10/7/88,91,6.3,James Caan,12143,Rockne S. O'Bannon
531,0,Atlantic Entertainment Group,Ernest Thompson,Drama,5979011,1969,R,11/18/88,95,5.8,Robert Downey Jr.,3154,Ernest Thompson
532,0,Cinetel Films,Robert Englund,Comedy,2955917,976-evil,R,3/24/89,92,5.1,Stephen Geoffreys,3769,Brian Helgeland
533,7000000,Lorimar Film Entertainment,Craig R. Baxley,Action,20257000,Action jackson,R,2/12/88,96,5.2,Carl Weathers,8065,Robert Reneau
534,22000000,Esparza,Robert Redford,Comedy,13825794,The milagro beanfield war,R,3/18/88,117,6.9,RubÈn Blades,5289,John Nichols
535,23000000,Lucasfilm,Francis Ford Coppola,Biography,19652638,Tucker: the man and his dream,PG,8/12/88,110,6.9,Jeff Bridges,12469,Arnold Schulman
536,0,Warner Bros.,Alan Myerson,Comedy,4239831,Police academy 5: assignment: miami beach,PG,3/18/88,90,4.4,Bubba Smith,27482,Neal Israel
537,6500000,Columbia Pictures Corporation,Spike Lee,Comedy,14545844,School daze,R,2/12/88,121,5.8,Laurence Fishburne,5042,Spike Lee
538,0,Columbia Pictures Corporation,Brian Gilbert,Comedy,13664060,Vice versa,PG,3/11/88,98,5.8,Judge Reinhold,7667,F. Anstey
539,3700000,Hemdale,Steve De Jarnatt,Action,1145404,Miracle mile,R,5/19/89,87,7.0,Anthony Edwards,6985,Steve De Jarnatt
540,0,Forum Sarajevo,Emir Kusturica,Comedy,280015,Time of the gypsies,R,2/9/90,142,8.3,Davor Dujmovic,19943,Emir Kusturica
541,0,Warner Bros.,Lawrence Kasdan,Drama,32632093,The accidental tourist,PG,1/6/89,121,6.8,William Hurt,13051,Anne Tyler
542,17500000,Zanuck/Brown Productions,Daniel Petrie,Adventure,18924919,Cocoon: the return,PG,11/23/88,116,5.3,Don Ameche,12956,David Saperstein
543,0,A&M; Films,Kevin Reynolds,War,161004,The beast of war,R,9/7/88,111,7.4,George Dzundza,7675,William Mastrosimone
544,4000000,Producers Representative Organization,Martin Donovan,Drama,670774,Apartment zero,R,9/15/89,124,6.9,Hart Bochner,3259,Martin Donovan
545,0,TriStar Pictures,Carl Schultz,Drama,18875011,The seventh sign,R,4/1/88,97,5.9,Demi Moore,11102,Clifford Green
546,0,Metro-Goldwyn-Mayer (MGM),Bob Swaim,Drama,15855828,Masquerade,R,3/11/88,100,6.0,Rob Lowe,2628,Dick Wolf
547,10000000,Jack Rollins & Charles H. Joffe Productions,Woody Allen,Drama,1562749,Another woman,PG,11/18/88,81,7.4,Gena Rowlands,10826,Woody Allen
548,9000000,"Malpaso Company, The",Clint Eastwood,Biography,2181286,Bird,R,9/30/88,161,7.2,Forest Whitaker,9685,Joel Oliansky
549,0,Film Four International,Peter Greenaway,Comedy,424773,Drowning by numbers,R,1991-06,118,7.3,Bernard Hill,6671,Peter Greenaway
550,15000000,Cannon Entertainment,Fred Schepisi,Drama,6908797,A cry in the dark,PG-13,11/11/88,120,6.9,Meryl Streep,7622,John Bryson
551,20000000,Rastar Pictures,Mike Nichols,Comedy,43184798,Biloxi blues,PG-13,3/25/88,106,6.6,Matthew Broderick,12590,Neil Simon
552,4000000,Cineplex-Odeon Films,Oliver Stone,Drama,3468572,Talk radio,R,1/13/89,110,7.3,Eric Bogosian,10745,Stephen Singular
553,0,Price,Jean-Jacques Annaud,Adventure,31753898,The bear,PG,10/27/89,96,7.7,TchÈky Karyo,13980,James Oliver Curwood
554,0,Jascat,GeneviËve Robert,Comedy,12277096,Casual sex?,R,4/22/88,97,4.9,Lea Thompson,3279,Wendy Goldman
555,20000000,"Guber-Peters Company, The",Allan Arkush,Comedy,11798302,Caddyshack ii,PG,7/22/88,98,3.7,Jackie Mason,12956,Brian Doyle-Murray
556,18000000,Imagine Entertainment,Ken Kwapis,Adventure,1883811,Vibes,PG,8/5/88,99,5.5,Cyndi Lauper,2850,Deborah Blum
557,0,Touchstone Pictures,Roger Spottiswoode,Action,29300090,Shoot to kill,R,2/12/88,110,6.8,Sidney Poitier,9882,Harv Zimmel
558,0,TriStar Pictures,John G. Avildsen,Comedy,17514553,For keeps?,PG-13,1/15/88,90,5.9,Molly Ringwald,3277,Tim Kazurinsky
559,0,Warner Bros.,Yahoo Serious,Comedy,11536599,Young einstein,PG,8/4/89,91,5.1,Yahoo Serious,7621,David Roach
560,0,Hemdale,Martin Campbell,Crime,9974446,Criminal law,R,4/28/89,117,5.7,Gary Oldman,2928,Mark Kasdan
561,0,National Broadcasting Company (NBC),Joan Freeman,Comedy,8253123,Satisfaction,PG-13,2/12/88,92,4.8,Justine Bateman,2958,Charles Purpura
562,19000000,United Artists,Costa-Gavras,Drama,25816139,Betrayed,R,8/26/88,127,6.3,Debra Winger,4580,Joe Eszterhas
563,0,Imagine Films Entertainment,Glenn Gordon Caron,Drama,8674093,Clean and sober,R,8/10/88,124,6.7,Michael Keaton,4875,Tod Carroll
564,0,Concorde Pictures,Jon Hess,Action,940173,Al borde del terror,R,12/2/88,91,5.3,Corey Haim,3376,Dean R. Koontz
565,16000000,Abramoff Production,Joseph Zito,Action,4192440,Escorpion rojo,R,4/21/89,105,5.0,Dolph Lundgren,6925,Robert Abramoff
566,0,Bigelow Productions,Annabel Jankel,Mystery,12706478,D.o.a.,R,3/18/88,96,6.1,Dennis Quaid,8364,Charles Edward Pogue
567,0,Golan-Globus Productions,Michael Winner,Crime,960040,Appointment with death,PG,4/27/88,100,6.2,Peter Ustinov,2554,Agatha Christie
568,0,Cadrage,Mira Nair,Crime,2080046,Salaam bombay!,NOT RATED,10/7/88,113,8.0,Shafiq Syed,7139,Hriday Lani
569,0,TriStar Pictures,Peter Markle,Drama,3966256,Bat*21,R,10/21/88,105,6.4,Gene Hackman,6651,William C. Anderson
570,0,Burrowes Film Group,Geoff Burrowes,Adventure,13687027,Return to snowy river,PG,4/15/88,110,6.6,Tom Burlinson,1943,Geoff Burrowes
571,6000000,Aspen Film Society,Paul Golding,Horror,40397,Pulse,PG-13,3/4/88,95,5.5,Cliff De Young,1781,Paul Golding
572,0,The Mount Company,Steven Kampmann,Drama,7467504,Stealing home,PG-13,8/26/88,98,6.8,Mark Harmon,3633,Steven Kampmann
573,0,Warner Bros.,Alan Metter,Comedy,10815378,Moving,R,3/4/88,89,6.1,Richard Pryor,4139,Andy Breckman
574,0,New World Entertainment Films,Paul Flaherty,Comedy,2567099,18 again!,PG,4/8/88,93,5.7,Charlie Schlatter,3573,Josh Goldstein
575,14000000,Weintraub Entertainment Group,David Anspaugh,Drama,6640346,Fresh horses,PG-13,11/18/88,105,5.0,Molly Ringwald,1439,Larry Ketron
576,0,New Line Cinema,Paul Bogart,Comedy,4865997,Torch song trilogy,R,12/14/88,120,7.7,Anne Bancroft,5834,Harvey Fierstein
577,5000000,Helpern / Meltzer,Mark Goldblatt,Action,3588626,Dead heat,R,6/29/88,86,6.0,Treat Williams,5127,Terry Black
578,210000,Miracle Pictures,Jim Wynorski,Comedy,107352,Not of this earth,R,5/20/88,81,4.5,Traci Lords,1724,R.J. Robertson
579,15000000,Columbia Pictures Corporation,Richard Benjamin,Drama,1733070,Little nikita,PG,3/18/88,98,6.0,Sidney Poitier,4132,John Hill
580,15000000,Columbia Pictures Corporation,David Seltzer,Comedy,21032267,Punchline,R,10/7/88,128,5.8,Sally Field,6938,David Seltzer
581,0,Silver Screen Partners III,Ferdinand Fairfax,Action,5855392,The rescue,PG,8/5/88,100,5.4,Kevin Dillon,920,Jim Thomas
582,0,"Cannon Group, The",Aaron Norris,Action,6193901,Braddock: missing in action iii,R,1/22/88,101,4.7,Chuck Norris,4679,Steve Bing
583,0,Carolco Pictures,Sidney J. Furie,Action,10497324,Iron eagle ii,PG,11/11/88,100,3.6,Louis Gossett Jr.,4195,Kevin Alyn Elders
584,0,Les Films Christian Fechner,Bruno Nuytten,Biography,201055,Camille claudel,R,12/21/89,158,7.3,Isabelle Adjani,5243,Reine-Marie Paris
585,0,Paramount Pictures,Randal Kleiser,Adventure,15122324,Big top pee-wee,PG,7/22/88,86,4.9,Paul Reubens,7756,Paul Reubens
586,0,Atlantic Entertainment Group,Mike Figgis,Crime,1791328,Stormy monday,R,1988-05,93,6.3,Melanie Griffith,2958,Mike Figgis
587,0,Management Company Entertainment Group (MCEG),Keith Gordon,Drama,303624,The chocolate war,R,11/18/88,100,6.9,John Glover,1784,Robert Cormier
588,0,In-Gear Film Production,Kar-Wai Wong,Crime,8440,As tears go by,Not specified,5/2/08,102,7.1,Andy Lau,6485,Jeffrey Lau
589,0,Metro-Goldwyn-Mayer (MGM),Janet Greek,Drama,1938049,Spellbinder,R,9/23/88,99,5.8,Tim Daly,1633,Tracy TormÈ
