rank,name,year,total
2930,Crazy heart,2009,47405566
2931,Nightcrawler,2014,47398992
2932,Almost famous,2000,47383689
2933,Rough night,2017,47347283
2934,The deep,1977,47346365
2935,Texas chainsaw,2013,47340586
2936,Broken flowers,2005,47329961
2937,Fantasy island,2020,47315959
2938,A monster calls,2016,47309313
2939,Tiny times 2.0,2013,47289937
2940,Golden job,2018,47287851
2941,Mortdecai,2015,47275695
2942,The watcher,2000,47267829
2943,Last man standing,1996,47267001
2944,Deck the halls,2006,47232776
2945,Switch,2013,47164301
2946,High fidelity,2000,47126295
2947,Soul surfer,2011,47120948
2948,The toy,1982,47118057
2949,Shin chan,2002,47104363
2950,The wedding date,2005,47096206
2951,Land of the dead,2005,47074133
2952,Dracula 2000,2000,47053625
2953,The place beyond the pines,2013,47052899
2954,Son of bigfoot,2017,47046281
2955,Halloween,1978,47000000
2956,Parker,2013,46922566
2957,Urban cowboy,1980,46918287
2958,"See no evil, hear no evil",1989,46908987
2959,The object of my affection,1998,46905889
2960,Goodfellas,1990,46879633
2961,The spy who loved me,1977,46838673
2962,Death at a funeral,2007,46789413
2963,47 meters down: uncaged,2019,46783103
2964,Hachi: a dog's tale,2009,46749646
2965,The big lebowski,1998,46735469
2966,Practical magic,1998,46732881
2967,Mary queen of scots,2018,46710283
2968,Firefox,1982,46708276
2969,The rocketeer,1991,46704056
2970,The distinguished gentleman,1992,46666502
2971,Uncle drew,2018,46664414
2972,Fly me to the moon 3d,2008,46651414
2973,Be with you,2004,46616207
2974,Colors,1988,46616067
2975,The brady bunch movie,1995,46576136
2976,Get rich or die tryin',2005,46563961
2977,Torque,2003,46546197
2978,The big wedding,2013,46522137
2979,Badges of fury,2013,46495296
2980,Fantastic mr. fox,2009,46472606
2981,Risen,2016,46432579
2982,The nativity story,2006,46432264
2983,Malice,1993,46405336
2984,Tyler perry's acrimony,2018,46403669
2985,Full metal jacket,1987,46357676
2986,It's a mad mad mad mad world,1963,46332858
2987,The shining,1980,46329241
2988,A werewolf boy,2012,46282588
2989,Miracle on 34th street,1994,46264384
2990,The thousand faces of dunjia,2017,46263237
2991,The enforcer,1976,46236000
2992,Asterix: the secret of the magic potion,2018,46221204
2993,The fog,2005,46201432
2994,The battleship island,2017,46183383
2995,Doraemon: nobita and the island of miracles ~animal adventure~,2012,46180706
2996,Hanson and the beast,2017,46154323
2997,Eddie the eagle,2016,46152800
2998,Napoleon dynamite,2004,46138887
2999,Into the blue,2005,46117696
3000,For love of the game,1999,46112640
3001,The world's end,2013,46089287
3002,The hunted,2003,46061847
3003,The last house on the left,2009,45995223
3004,Let's get married,2015,45972724
3005,The rainmaker,1997,45916769
3006,Welcome to the south,2010,45896492
3007,Eight legged freaks,2002,45867333
3008,Greystoke,1984,45858563
3009,One missed call,2008,45847751
3010,Brewster's millions,1985,45833132
3011,Gintama live action the movie,2017,45746967
3012,Somewhere only we know,2015,45737711
3013,Chasing the dragon ii: wild wild bunch,2019,45733356
3014,Brooklyn's finest,2009,45719985
3015,Lawrence of arabia,1962,45710874
3016,"Mcfarland, usa",2015,45710059
3017,Guilty of mind,2017,45698503
3018,Robocop 2,1990,45681173
3019,Earth to echo,2014,45681062
3020,Young guns,1988,45661556
3021,That awkward moment,2014,45640143
3022,The debt,2011,45636368
3023,D2: the mighty ducks,1994,45610410
3024,Hero,2015,45565534
3025,If you are the one,2008,45521453
3026,Medicine man,1992,45500797
3027,Machete,2010,45491656
3028,Good boy,2003,45490616
3029,Queen of the damned,2002,45479110
3030,Thelma & louise,1991,45454078
3031,Wei ai zhi jian ru jia jing,2014,45386560
3032,Kokuhaku,2010,45203103
3033,Blair witch,2016,45173154
3034,Flatliners,2017,45158254
3035,Boonie bears: the big top secret,2016,45150390
3036,Deuce bigalow: european gigolo,2005,45109561
3037,Monster's ball,2001,45011434
3038,The way we were,1973,45000000
3039,Foul play,1978,44999621
3040,Pacific heights,1990,44926706
3041,The end,1978,44917151
3042,Grudge match,2013,44907260
3043,Child's play,2019,44902237
3044,Cop land,1997,44862187
3045,Midnight cowboy,1969,44801177
3046,A nightmare on elm street 3: dream warriors,1987,44793222
3047,Still alice,2015,44779195
3048,In the bedroom,2001,44763181
3049,The wrestler,2008,44734660
3050,The man from nowhere,2010,44723232
3051,Mysteries of egypt,1998,44703731
3052,The white storm,2013,44670277
3053,Hellboy,2019,44664690
3054,Lakeview terrace,2008,44655002
3055,Uptown girls,2003,44617342
3056,The gift,2000,44567606
3057,Bad genius,2017,44560421
3058,The legend of hei,2019,44553752
3059,The negotiator,1998,44547681
3060,The odd couple,1968,44527234
3061,Mother!,2017,44516999
3062,Nothing to lose,1997,44480039
3063,Recess: school's out,2001,44460850
3064,Oculus,2014,44459951
3065,Notorious,2009,44420167
3066,Detective conan: the eleventh striker,2012,44369456
3067,Up in smoke,1978,44364244
3068,The sisterhood of the traveling pants 2,2008,44352417
3069,A man apart,2003,44350926
3070,Picture perfect,1997,44332015
3071,Pinocchio,2002,44310395
3072,House at the end of the street,2012,44287131
3073,The girl who kicked the hornet's nest,2009,44276335
3074,The good the bad the weird,2008,44261209
3075,Amistad,1997,44229441
3076,Child's play,1988,44196684
3077,Young guns ii,1990,44143410
3078,Hardball,2001,44102389
3079,Tarzan,2013,44095996
3080,The great hypnotist,2014,44077818
3081,Passenger 57,1992,44065653
3082,West side story,1961,44061777
3083,Winchester,2018,44019588
3084,Semi-pro,2008,44004502
3085,Seems like old times,1980,43995918
3086,The last emperor,1987,43993508
3087,Wind river,2017,43980821
3088,Max,2015,43967255
3089,Timeline,2003,43935763
3090,The transporter,2002,43928932
3091,Battle of memories,2017,43892362
3092,Jungle fever,1991,43882682
3093,Wall street,1987,43848069
3094,Shining through,1992,43838238
3095,Diamonds are forever,1971,43819547
3096,Of gods and men,2010,43803417
3097,Café society,2016,43763247
3098,Richard jewell,2019,43745542
3099,The sea inside,2004,43731621
3100,The duff,2015,43709744
3101,Soul food,1997,43700855
3102,"Welcome home, roscoe jenkins",2008,43655418
3103,Judy,2019,43623739
3104,City slickers ii: the legend of curly's gold,1994,43622150
3105,Police academy 3: back in training,1986,43579163
3106,Boy,2010,43551154
3107,We are marshall,2006,43545364
3108,League of gods,2016,43498766
3109,Harold & kumar escape from guantanamo bay,2008,43495888
3110,Brothers,2009,43474578
3111,The great outdoors,1988,43455230
3112,Secretly greatly,2013,43447199
3113,Last holiday,2006,43446924
3114,A river runs through it,1992,43440294
3115,The master of disguise,2002,43411001
3116,Harriet,2019,43347017
3117,The duchess,2008,43343384
3118,Pokémon: giratina and the sky warrior,2008,43338599
3119,Orange county,2002,43325009
3120,The edge,1997,43312294
3121,The jungle book,1994,43229904
3122,Beastly,2011,43202283
3123,The snowman,2017,43155261
3124,Boogie nights,1997,43101594
3125,Freedom writers,2007,43095175
3126,You only live twice,1967,43084787
3127,Annihilation,2018,43070915
3128,Gifted,2017,43069254
3129,See spot run,2001,43057552
3130,When in rome,2010,43053376
3131,Meatballs,1979,43046003
3132,The possession of hannah grace,2018,43016528
3133,The longest yard,1974,43008075
3134,Escape from alcatraz,1979,43004381
3135,Regarding henry,1991,43001500
3136,Shaolin,2011,42982973
3137,Legend,2015,42972994
3138,"The chef, the actor, the scoundrel",2013,42970000
3139,The gallows,2015,42964410
3140,Glory road,2006,42938449
3141,Crank,2006,42931041
3142,Day watch,2006,42918532
3143,A lot like love,2005,42886719
3144,The warlords,2007,42883181
3145,Detective conan: quarter of silence,2011,42808575
3146,Asterix and obelix: mansion of the gods,2014,42800509
3147,The main event,1979,42800000
3148,Basic,2003,42792561
3149,A shaun the sheep movie: farmageddon,2019,42785505
3150,Zack and miri make a porno,2008,42784344
3151,Shaolin soccer,2001,42776760
3152,Doraemon: nobita's secret gadget museum,2013,42770271
3153,Heartbreak ridge,1986,42724017
3154,Mannequin,1987,42721196
3155,The secret in their eyes,2009,42629597
3156,House on haunted hill,1999,42593455
3157,Almost christmas,2016,42580920
3158,Oliver twist,2005,42580321
3159,Pokémon: the rise of darkrai,2007,42496749
3160,Bangkok dangerous,2008,42487390
3161,Thermae romae ii,2014,42473163
3162,Man of the year,2006,42472472
3163,Love the coopers,2015,42426912
3164,8 women,2002,42426583
3165,Son of a rich,2019,42403508
3166,Time bandits,1981,42368025
3167,My name is khan,2010,42345360
3168,Blue thunder,1983,42313354
3169,Always: sunset on third street 2,2007,42308657
3170,Teenage mutant ninja turtles iii,1993,42273609
3171,A good year,2006,42269923
3172,Loving vincent,2017,42187665
3173,The throne,2015,42165755
3174,White nights,1985,42160849
3175,Long day's journey into night,2018,42140994
3176,Jobs,2013,42128352
3177,Going the distance,2010,42059111
3178,Bang bang,2014,42045981
3179,Dirty rotten scoundrels,1988,42039085
3180,Detective conan: the sniper from another dimension,2014,42028116
3181,The sisterhood of the traveling pants,2005,42013878
3182,200 pounds beauty,2006,42013016
3183,Around the world in 80 days,1956,42000000
3184,Mary and the witch's flower,2017,41978431
3185,Meet the browns,2008,41975388
3186,Rurouni kenshin part iii: the legend ends,2014,41900000
3187,"As above, so below",2014,41898409
3188,The fisher king,1991,41895491
3189,Call me by your name,2017,41887595
3190,The guilt trip,2012,41863726
3191,The return of the pink panther,1975,41833347
3192,Homeward bound: the incredible journey,1993,41833324
3193,No man's land,2013,41807712
3194,The informant!,2009,41771168
3195,Scandal makers,2008,41745790
3196,Balls of fury,2007,41739766
3197,"Oh, god!",1977,41687243
3198,Wimbledon,2004,41682237
3199,T2 trainspotting,2017,41681746
3200,Cheech and chong's next movie,1980,41675194
3201,Overlord,2018,41657844
3202,Born to be wild,2011,41644475
3203,The uninvited,2009,41633384
3204,The dark crystal,1982,41630431
3205,Never back down,2008,41627431
3206,My best friend's girl,2008,41624687
3207,Ronin,1998,41616262
3208,Undercover brother,2002,41604473
3209,Set it off,1996,41590886
3210,Safe,2012,41564670
3211,Escape captivity: the movie,2008,41550983
3212,The great battle,2018,41509280
3213,Peggy sue got married,1986,41488348
3214,Gremlins 2: the new batch,1990,41482207
3215,Gridiron gang,2006,41480851
3216,Blade runner,1982,41475030
3217,Pale rider,1985,41410568
3218,Lupin iii vs. conan,2013,41397727
3219,The lady in the van,2015,41387687
3220,Shark night 3d,2011,41363927
3221,Ricki and the flash,2015,41325328
3222,Quarantine,2008,41319906
3223,Leatherheads,2008,41319039
3224,This is where i leave you,2014,41296320
3225,Tequila sunrise,1988,41292551
3226,Private parts,1997,41230799
3227,Happy gilmore,1996,41205099
3228,How to make an american quilt,1995,41200020
3229,Evangelion: 2.0 you can (not) advance,2009,41177742
3230,The concert,2009,41146351
3231,The darkest minds,2018,41142379
3232,50/50,2011,41097853
3233,The intruder,2019,41092397
3234,Clash of the titans,1981,41092328
3235,Fist fight,2017,41087017
3236,The mirror has two faces,1996,41083864
3237,Arlington road,1999,41067311
3238,Whale rider,2003,41062976
3239,"Lost, found",2018,41043552
3240,Dredd,2012,41037742
3241,Fright night,2011,41002607
3242,Poltergeist ii: the other side,1986,40996665
3243,Grand canyon,1991,40991329
3244,Twisted,2004,40954603
3245,Breach,2007,40953935
3246,Pee-wee's big adventure,1985,40940662
3247,La vérité si je mens! 3,2012,40928635
3248,Always: sunset on third street '64,2012,40923305
3249,Drive angry,2011,40909909
3250,Falling down,1993,40903593
3251,Underwater,2020,40882928
3252,The love guru,2008,40877556
3253,Revenge of the nerds,1984,40874452
3254,Where the heart is,2000,40863718
3255,Gamer,2009,40828540
3256,Fighting with my family,2019,40811919
3257,An american tail: fievel goes west,1991,40766041
3258,Absence of malice,1981,40716963
3259,Short circuit,1986,40697761
3260,Encino man,1992,40693477
3261,Cop & ½,1993,40689691
3262,30 minutes or less,2011,40662632
3263,The circle,2017,40656399
3264,Ocho apellidos catalanes,2015,40591862
3265,Three fugitives,1989,40586886
3266,Gantz,2011,40568961
3267,Bears and lola,2014,40521387
3268,The roommate,2011,40492652
3269,Jagged edge,1985,40491165
3270,Bill & ted's excellent adventure,1989,40485039
3271,War,2007,40481352
3272,Pretty in pink,1986,40471663
3273,Holmes & watson,2018,40466970
3274,Serenity,2005,40445129
3275,Bless the child,2000,40443010
3276,The ringer,2005,40442443
3277,The witch,2016,40423945
3278,Bad education,2004,40423279
3279,The boy in the striped pajamas,2008,40416563
3280,2010,1984,40400657
3281,The art of war,2000,40400425
3282,Masquerade hotel,2019,40396244
3283,Reds,1981,40382659
3284,Swiss family robinson,1960,40356000
3285,Magnificent desolation: walking on the moon 3d,2005,40339402
3286,The faculty,1998,40283321
3287,Carol,2015,40272135
3288,Yolki 3,2013,40267368
3289,Blast from the past,1999,40263020
3290,Sp: the motion picture ii,2011,40255101
3291,Mo' money,1992,40227006
3292,Yentl,1983,40218899
3293,Manhattan,1979,40194067
3294,The invasion,2007,40170558
3295,The piano,1993,40168956
3296,Crimson rivers 2: angels of the apocalypse,2004,40152148
3297,Big business,1988,40150487
3298,Diary of a wimpy kid: the long haul,2017,40140972
3299,All about steve,2009,40105542
3300,Hannah and her sisters,1986,40084041
3301,The wild life,2016,40075446
3302,Man of the house,1995,40070995
3303,Galapagos,1999,40069028
3304,Roxanne,1987,40050884
3305,Northern limit line,2015,40034677
3306,Dancer in the dark,2000,40031879
3307,I still know what you did last summer,1998,40002112
3308,Om shanti om,2007,39997025
3309,Dream house,2011,39984400
3310,Black knight,2001,39976235
3311,Love o2o,2016,39969537
3312,Brotherhood of blades 2,2017,39966092
3313,The secret life of bees,2008,39952437
3314,Astro boy,2009,39886986
3315,Caddyshack,1980,39846344
3316,Monte carlo,2011,39782683
3317,Magnum force,1973,39768000
3318,Eiga kaibutsukun,2011,39766344
3319,Friday the 13th,1980,39754601
3320,Midnight runners,2017,39730433
3321,Memento,2001,39723096
3322,The forest,2016,39712000
3323,The last wish,2019,39701449
3324,Sp: the motion picture i,2010,39674739
3325,Jackie brown,1997,39673162
3326,Out for justice,1991,39673161
3327,Detective conan: the raven chaser,2009,39664359
3328,The november man,2014,39661919
3329,Pete's dragon,1977,39588000
3330,Intimate strangers,2018,39576060
3331,Benji,1974,39552000
3332,Hocus pocus,1993,39514713
3333,Nobody's fool,1994,39491975
3334,Recep ivedik 4,2014,39477906
3335,Down with love,2003,39468111
3336,The legend of bagger vance,2000,39459427
3337,Agora,2009,39457342
3338,Fletch lives,1989,39450960
3339,Don jon,2013,39439355
3340,Crocodile dundee in los angeles,2001,39438674
3341,Halloween ii,2009,39421467
3342,Haunted castle,2001,39418836
3343,Uri: the surgical strike,2019,39416995
3344,I love you phillip morris,2009,39408227
3345,Frank miller's sin city: a dame to kill for,2014,39407616
3346,Joe versus the volcano,1990,39404261
3347,Dead man walking,1995,39363635
3348,Blind date,1987,39337581
3349,Thank you for smoking,2006,39323027
3350,Cirque du freak: the vampire's assistant,2009,39291383
3351,Otoko-tachi no yamato,2005,39287114
3352,The gambler,2014,39280992
3353,How stella got her groove back,1998,39278722
3354,Dumb and dumberer: when harry met lloyd,2003,39267515
3355,¡three amigos!,1986,39246734
3356,Mars needs moms,2011,39233678
3357,Scoop,2006,39220946
3358,Absolutely fabulous: the movie,2016,39219109
3359,Tazza: the high rollers,2006,39212715
3360,My mom is a character 2,2016,39195565
3361,Sink or swim,2018,39193850
3362,Samba,2014,39178695
3363,The spirit,2008,39164441
3364,Show dogs,2018,39156854
3365,Women who flirt,2014,39156132
3366,Admiral,2008,39143985
3367,Sherlock: the abominable bride,2016,39139204
3368,Ex-files 2: the backup strikes back,2015,39108291
3369,The sword and the sorcerer,1982,39103425
3370,What's love got to do with it,1993,39100956
3371,Postcards from the edge,1990,39071603
3372,Believer,2018,39047153
3373,The exorcist iii,1990,39024251
3374,Funny lady,1975,39000000
3375,The crown jewels,2011,39000000
3376,Little shop of horrors,1986,38982260
3377,The karate kid part iii,1989,38956288
3378,The life of david gale,2003,38955598
3379,Weird science,1985,38934048
3380,The fly ii,1989,38903179
3381,Forbidden kingdom,2009,38885962
3382,Antoine and sebastian,2013,38879959
3383,The spy gone north,2018,38844509
3384,First sunday,2008,38810311
3385,The wicker man,2006,38805380
3386,Criminal,2015,38803993
3387,Clockstoppers,2002,38793283
3388,Heidi,2015,38755161
3389,Dreamer: inspired by a true story,2005,38741732
3390,About last night,1986,38702310
3391,Someone like you,2001,38689940
3392,Breakin',1984,38682707
3393,Jeon woochi,2009,38682281
3394,Always: sunset on third street,2005,38675638
3395,On the basis of sex,2018,38673750
3396,"Crouching tiger, hidden dragon: sword of destiny",2016,38659039
3397,Basic instinct 2,2006,38629478
3398,The great mouse detective,1986,38625550
3399,Accepted,2006,38623262
3400,Head of state,2003,38620484
3401,The ghost and the darkness,1996,38619405
3402,The best of me,2014,38609668
3403,Taxi 5,2018,38598227
3404,On deadly ground,1994,38590458
3405,Urban legends: final cut,2000,38574362
3406,Running scared,1986,38500726
3407,Million dollar arm,2014,38483455
3408,What's the worst that could happen?,2001,38464131
3409,Bachelor party,1984,38435947
3410,Employee of the month,2006,38395414
3411,Chernobyl diaries,2012,38390020
3412,Red dawn,1984,38376497
3413,The missing,2003,38364277
3414,Boruto: naruto the movie,2015,38362448
3415,The lazarus effect,2015,38356892
3416,City heat,1984,38348988
3417,The soloist,2009,38332994
3418,Ghajini,2008,38316584
3419,Higher learning,1995,38290723
3420,Annie hall,1977,38287178
3421,Van wilder: party liaison,2002,38275483
3422,Don't be afraid of the dark,2011,38269529
3423,20th century boys 1: beginning of the end,2008,38231562
3424,Herbie rides again,1974,38229000
3425,The original kings of comedy,2000,38182790
3426,The water diviner,2014,38176317
3427,Encounter in the third dimension,1999,38171557
3428,Just my luck,2006,38159905
3429,Jumping the broom,2011,38158601
3430,Camping,2006,38122543
3431,The running man,1987,38122105
3432,The doctor,1991,38120905
3433,Spaceballs,1987,38119483
3434,Ri¢hie ri¢h,1994,38087756
3435,Happily n'ever after,2007,38085778
3436,One for the money,2011,38084162
3437,The producers,2005,38075318
3438,The banger sisters,2002,38068353
3439,Friendship!,2007,38061593
3440,But always,2014,38039248
3441,Bill & ted's bogus journey,1991,38037513
3442,Overcomer,2019,38026103
3443,Dead again,1991,38016380
3444,The eagle,2011,37989684
3445,Kokkuri-san: gekijô-ban,2010,37982240
3446,For colored girls,2010,37981984
3447,Howard the duck,1986,37962774
3448,Sgt. bilko,1996,37956793
3449,It could happen to you,1994,37939757
3450,Chek dou,2015,37938005
3451,Killing them softly,2012,37930465
3452,The dead pool,1988,37903295
3453,The king,2017,37886707
3454,Hell or high water,2016,37879877
3455,Amalfi: rewards of the goddess,2009,37840539
3456,All that jazz,1979,37823676
3457,St. elmo's fire,1985,37803872
3458,The black stallion,1979,37799643
3459,Cold eyes,2013,37795598
3460,The handmaiden,2016,37767206
3461,Mission milano,2016,37749848
3462,Bulletproof monk,2003,37713879
3463,The hills have eyes 2,2007,37697773
3464,Casanova,2005,37691644
3465,Rurouni kenshin part i: origins,2012,37687024
3466,The prince and me,2004,37666766
3467,Halloween: resurrection,2002,37664855
3468,The covenant,2006,37598767
3469,Now and then,1995,37591674
3470,Painted skin,2008,37579689
3471,Down periscope,1996,37553752
3472,Pokémon the movie: i choose you!,2017,37552144
3473,Fat buddies,2018,37496410
3474,Broken embraces,2009,37472507
3475,A walk in the woods,2015,37461274
3476,Song of the south,1980,37459346
3477,Snowden,2016,37357216
3478,Natale in crociera,2007,37350000
3479,Do the right thing,1989,37346892
3480,The majestic,2001,37317558
3481,Becoming jane,2007,37311672
3482,Home again,2017,37270721
3483,Beauty shop,2005,37245453
3484,Pokémon: lucario and the mystery of mew,2005,37228626
3485,Semi-tough,1977,37187139
3486,Psycho,1998,37170655
3487,"Like father, like son",2013,37170163
3488,Raising cain,1992,37170057
3489,Pain and glory,2019,37137074
3490,Brubaker,1980,37121708
3491,The family that preys,2008,37105289
3492,A witness out of the blue,2019,37092694
3493,Rear window,1954,37032034
3494,Sphere,1998,37020277
3495,Till the end of the world,2018,37013733
3496,2,2018,36945969
3497,Devil's due,2014,36921560
3498,The bachelor,1999,36911617
3499,Ex machina,2015,36869414
3500,Just cause,1995,36853222
3501,The apple dumpling gang,1975,36853000
3502,My favorite martian,1999,36850101
3503,Best friends,1982,36821203
3504,The adventurers,2017,36798147
3505,Titan a.e.,2000,36754634
3506,The adventures of super monkey,2007,36745063
3507,Alive,1993,36733909
3508,Negotiator: mashita masayoshi,2005,36733286
3509,Natale a rio,2008,36702844
3510,Friday the 13th part iii,1982,36690067
3511,Valentine,2001,36684136
3512,Sky of love,2007,36684020
3513,Joy ride,2001,36642838
3514,Gung ho,1986,36611610
3515,Return to me,2000,36609995
3516,Burnt,2015,36606743
3517,The priests,2015,36577134
3518,Tarzan the ape man,1981,36565280
3519,The chaser,2008,36495748
3520,Soapdish,1991,36489888
3521,The tower,2012,36452524
3522,Baby geniuses,1999,36450736
3523,Son in law,1993,36448400
3524,Detective conan: the lost ship in the sky,2010,36407407
3525,All of me,1984,36403064
3526,Vegas vacation,1997,36400360
3527,Furry vengeance,2010,36351945
3528,Pirate radio,2009,36348784
3529,Detective conan: private eye in the distant sea,2013,36324232
3530,Gekijouban inazuma irebun go: kyuukyoku no kizuna gurifon,2010,36319231
3531,Universal soldier,1992,36299898
3532,Richard pryor: live on the sunset strip,1982,36299720
3533,The secret reunion,2010,36298578
3534,A most wanted man,2014,36233517
3535,Mad max beyond thunderdome,1985,36230219
3536,A very harold & kumar christmas,2011,36192775
3537,Nobunaga concerto: the movie,2016,36187594
3538,Dügün dernek,2013,36185741
3539,Last tango in paris,1973,36179290
3540,Sicko,2007,36163768
3541,Silent movie,1976,36145695
3542,The queen's corgi,2019,36117466
3543,Love happens,2009,36088028
3544,Nothing to lose,2018,36075317
3545,The magic hour,2008,36023586
3546,Whatever works,2009,36020534
3547,You will meet a tall dark stranger,2010,36015260
3548,The greatest show on earth,1952,36000000
3549,The robe,1953,36000000
3550,Shine,1996,35999081
3551,Dirty harry,1971,35976000
3552,T-34,2018,35950901
3553,Kundo: age of the rampant,2014,35941291
3554,Ra.one,2011,35911689
3555,Taps,1981,35856053
3556,The black hole,1979,35841901
3557,Garden state,2004,35825316
3558,Conquest 1453,2012,35797045
3559,The new adventures of aladdin,2015,35771820
3560,Child's play 2,1990,35763605
3561,Riding in cars with boys,2001,35743308
3562,Robin hood: men in tights,1993,35739755
3563,Hostel: part ii,2007,35728183
3564,Tad the lost explorer and the secret of king midas,2017,35704046
3565,Hostiles,2017,35669017
3566,The terror live,2013,35659824
3567,Summer school,1987,35659098
3568,The indian in the cupboard,1995,35656131
3569,Starting over,1979,35649012
3570,Faster,2010,35626958
3571,Silkwood,1983,35615609
3572,Sharky's machine,1981,35610100
3573,A thin line between love and hate,1996,35599803
3574,Tyler perry's good deeds,2012,35579177
3575,My dog skip,2000,35547761
3576,No way out,1987,35509515
3577,Jersey girl,2004,35492921
3578,Mia and the white lion,2018,35487190
3579,Arbitrage,2012,35485056
3580,Hide and seek,2013,35461505
3581,The aristocats,1980,35459543
3582,Vacancy,2007,35442935
3583,Money train,1995,35431113
3584,Mermaids,1990,35419397
3585,Original sin,2001,35402320
3586,Room,2015,35401758
3587,Live and let die,1973,35377836
3588,Namiya,2017,35351623
3589,A goofy movie,1995,35348597
3590,Death note: l change the world,2008,35319632
3591,The darjeeling limited,2007,35307949
3592,Assault on precinct 13,2005,35294470
3593,Selena,1997,35281794
3594,Eye in the sky,2016,35259653
3595,Edtv,1999,35242897
3596,Les tuche 2: the american dream,2016,35210425
3597,Honeymoon in vegas,1992,35208854
3598,Courageous,2011,35185884
3599,Destiny: the tale of kamakura,2017,35166640
3600,The girl in the spider's web,2018,35164920
3601,The adventures of rocky & bullwinkle,2000,35134820
3602,Miss potter,2006,35078241
3603,Alfie,2004,35060882
3604,My week with marilyn,2011,35057696
3605,The liquidator,2017,35046130
3606,Flight of the phoenix,2004,35021497
3607,Midnight express,1978,35000000
3608,Welcome to the north,2012,34995189
3609,Red heat,1988,34994648
3610,Excalibur,1981,34971136
3611,Bambi and the great prince of the forest,2006,34958637
3612,Blind detective,2013,34958596
3613,When marnie was there,2014,34949567
3614,The sitter,2011,34942188
3615,The hate u give,2018,34934009
3616,Lost and love,2015,34930177
3617,Places in the heart,1984,34901614
3618,The barbarian invasions,2003,34883010
3619,Doraemon: nobita and the space heroes,2015,34872336
3620,Freddy's dead: the final nightmare,1991,34872033
3621,The truth about cats & dogs,1996,34861807
3622,Secret in their eyes,2015,34854990
3623,"Dad, where are we going 2",2015,34840000
3624,Chimpanzee,2012,34823764
3625,Disaster movie,2008,34816824
3626,Kidnap,2017,34814102
3627,The life aquatic with steve zissou,2004,34808403
3628,Sunshine,2007,34806360
3629,Super hero war: kamen rider vs. super sentai,2012,34796316
3630,White fang,1991,34793160
3631,Assembly,2007,34786960
3632,The kids are all right,2010,34758951
3633,Doraemon the movie: nobita's dinosaur,2006,34740192
3634,Broken city,2013,34737199
3635,Psycho ii,1983,34725000
3636,Endless love,2014,34718173
3637,Jane eyre,2011,34710627
3638,Doraemon the movie: nobita's great battle of the mermaid king,2010,34702573
3639,The killing fields,1984,34700291
3640,October sky,1999,34698685
3641,Nana,2005,34673880
3642,Addicted to love,1997,34673095
3643,Dangerous liaisons,1988,34670720
3644,The man standing next,2020,34664900
3645,Malibu's most wanted,2003,34622504
3646,Alex cross,2012,34618867
3647,Gone baby gone,2007,34612443
3648,The extraordinary adventures of adèle blanc-sec,2010,34604339
3649,Mississippi burning,1988,34603943
3650,R.a.i.d. special unit,2017,34598750
3651,The lady shogun and her men,2010,34597898
3652,That thing you do!,1996,34585416
3653,The best man,1999,34573780
3654,Crank: high voltage,2009,34572541
3655,Salmon fishing in the yemen,2012,34564651
3656,Jack frost,1998,34562556
3657,Haywire,2012,34513760
3658,Steve jobs,2015,34441873
3659,Adventures in zambezia,2012,34428345
3660,The doors,1991,34416893
3661,Swimfan,2002,34411240
3662,Like father like son,1987,34377585
3663,Adventures in babysitting,1987,34368475
3664,The sandlot,1993,34348443
3665,Pokémon the movie: destiny deoxys,2004,34337258
3666,Muppet treasure island,1996,34327391
3667,Little darlings,1980,34326249
3668,Warrior of the hornor,2019,34291831
3669,Tommy,1975,34272986
3670,The medallion,2003,34268701
3671,American psycho,2000,34266564
3672,Wild safari - a south african adventure,2005,34257135
3673,Bad news bears,2005,34252847
3674,Victor frankenstein,2015,34227298
3675,Che: part one,2008,34209065
3676,The blind swordsman: zatoichi,2003,34196922
3677,The house,2017,34184504
3678,Cirque du soleil: worlds away,2012,34153101
3679,The battle: roar to victory,2019,34148707
3680,Black & white: the dawn of justice,2014,34146896
3681,Winged migration,2001,34128314
3682,Gokusen: the movie,2009,34117482
3683,Instinct,1999,34105207
3684,"My love, don't cross that river",2014,34098707
3685,In bruges,2008,34085749
3686,The bad guys: the movie,2019,34024386
3687,Darkness,2002,33988736
3688,Dungeons & dragons,2000,33978694
3689,The fighting temptations,2003,33972062
3690,The witness,2015,33963557
3691,The relic,1997,33956608
3692,"Belle and sebastian, friends for life",2015,33895230
3693,Arthur 3: the war of the two worlds,2010,33885979
3694,Hotel rwanda,2004,33882243
3695,Camping 2,2010,33857735
3696,The good liar,2019,33856058
3697,The pink panther strikes again,1976,33833201
3698,My mom is a character 3,2019,33812233
3699,Don't go breaking my heart 2,2014,33801759
3700,Carrie,1976,33800000
3701,Jay and silent bob strike back,2001,33788161
3702,The art of racing in the rain,2019,33766787
3703,Porky's ii: the next day,1983,33759266
3704,Love and honour,2006,33755574
3705,I want to eat your pancreas,2017,33748006
3706,Nobody's fool,2018,33705333
3707,Curly sue,1991,33691313
3708,Mr. woodcock,2007,33683200
3709,The skin i live in,2011,33678406
3710,Three heroes on distant shores,2012,33674759
3711,Gantz: perfect answer,2011,33672515
3712,Y tu mamá también,2001,33616692
3713,Because of winn-dixie,2005,33589427
3714,Punch,2011,33556725
