,Rank,Title,Lifetime Gross,Year
0,3001,The World's End,"$46,089,287",2013
1,3002,The Hunted,"$46,061,847",2003
2,3003,The Last House on the Left,"$45,995,223",2009
3,3004,Let's Get Married,"$45,972,724",2015
4,3005,The Rainmaker,"$45,916,769",1997
5,3006,Welcome to the South,"$45,896,492",2010
6,3007,Eight Legged Freaks,"$45,867,333",2002
7,3008,Greystoke,"$45,858,563",1984
8,3009,One Missed Call,"$45,847,751",2008
9,3010,Brewster's Millions,"$45,833,132",1985
10,3011,Gintama Live Action the Movie,"$45,746,967",2017
11,3012,Somewhere Only We Know,"$45,737,711",2015
12,3013,Chasing the Dragon II: Wild Wild Bunch,"$45,733,356",2019
13,3014,Brooklyn's Finest,"$45,719,985",2009
14,3015,Lawrence of Arabia,"$45,710,874",1962
15,3016,"McFarland, USA","$45,710,059",2015
16,3017,Guilty of Mind,"$45,698,503",2017
17,3018,RoboCop 2,"$45,681,173",1990
18,3019,Earth to Echo,"$45,681,062",2014
19,3020,Young Guns,"$45,661,556",1988
20,3021,That Awkward Moment,"$45,640,143",2014
21,3022,The Debt,"$45,636,368",2011
22,3023,D2: The Mighty Ducks,"$45,610,410",1994
23,3024,Hero,"$45,565,534",2015
24,3025,If You Are the One,"$45,521,453",2008
25,3026,Medicine Man,"$45,500,797",1992
26,3027,Machete,"$45,491,656",2010
27,3028,Good Boy,"$45,490,616",2003
28,3029,Queen of the Damned,"$45,479,110",2002
29,3030,Thelma & Louise,"$45,454,078",1991
30,3031,Wei ai zhi jian ru jia jing,"$45,386,560",2014
31,3032,Kokuhaku,"$45,203,103",2010
32,3033,Blair Witch,"$45,173,154",2016
33,3034,Flatliners,"$45,158,254",2017
34,3035,Boonie Bears: The Big Top Secret,"$45,150,390",2016
35,3036,Deuce Bigalow: European Gigolo,"$45,109,561",2005
36,3037,Monster's Ball,"$45,011,434",2001
37,3038,The Way We Were,"$45,000,000",1973
38,3039,Foul Play,"$44,999,621",1978
39,3040,Pacific Heights,"$44,926,706",1990
40,3041,The End,"$44,917,151",1978
41,3042,Grudge Match,"$44,907,260",2013
42,3043,Child's Play,"$44,902,237",2019
43,3044,Cop Land,"$44,862,187",1997
44,3045,Midnight Cowboy,"$44,801,177",1969
45,3046,A Nightmare on Elm Street 3: Dream Warriors,"$44,793,222",1987
46,3047,Still Alice,"$44,779,195",2015
47,3048,In the Bedroom,"$44,763,181",2001
48,3049,The Wrestler,"$44,734,660",2008
49,3050,The Man from Nowhere,"$44,723,232",2010
50,3051,Mysteries of Egypt,"$44,703,731",1998
