,Rank,Title,Lifetime Gross,Year
0,2601,Eastern Promises,"$56,107,312",2007
1,2602,Kicking & Screaming,"$56,070,433",2005
2,2603,The Big Shot,"$56,040,681",2019
3,2604,Remember Me,"$56,032,889",2010
4,2605,The Odd Life of Timothy Green,"$56,012,642",2012
5,2606,"Definitely, Maybe","$55,990,299",2008
6,2607,Confidential Assignment,"$55,972,241",2017
7,2608,Under the Sea 3D,"$55,902,624",2009
8,2609,Why Did I Get Married?,"$55,862,886",2007
9,2610,Firestorm,"$55,754,766",2013
10,2611,Dallas Buyers Club,"$55,736,588",2013
11,2612,Dragonball Evolution,"$55,720,772",2009
12,2613,Pay It Forward,"$55,707,411",2000
13,2614,All Eyez on Me,"$55,668,698",2017
14,2615,The Irony of Fate 2,"$55,639,741",2007
15,2616,Cop Out,"$55,611,001",2010
16,2617,Police Academy 2: Their First Assignment,"$55,600,000",1985
17,2618,The Lizzie McGuire Movie,"$55,534,455",2003
18,2619,Out of Time,"$55,495,563",2003
19,2620,Great Expectations,"$55,494,066",1998
20,2621,Spanglish,"$55,470,154",2004
21,2622,Never Say Never Again,"$55,432,841",1983
22,2623,Lawless,"$55,404,207",2012
23,2624,What Dreams May Come,"$55,382,927",1998
24,2625,Silent Hill: Revelation,"$55,362,705",2011
25,2626,The Mothman Prophecies,"$55,305,279",2002
26,2627,Waking Ned Devine,"$55,257,450",1998
27,2628,Rugrats Go Wild,"$55,250,496",2003
28,2629,Extremely Loud & Incredibly Close,"$55,247,881",2011
29,2630,The Ant Bully,"$55,181,129",2006
30,2631,End of Watch,"$55,078,146",2012
31,2632,The Messengers,"$55,060,212",2007
32,2633,Halloween H20: 20 Years Later,"$55,041,738",1998
33,2634,We Own the Night,"$55,033,767",2007
34,2635,Barbershop: The Next Cut,"$55,030,051",2016
35,2636,Veda - Atatürk,"$55,024,621",2010
36,2637,Downsizing,"$55,003,890",2017
37,2638,Analyze That,"$55,003,135",2002
38,2639,The Money Pit,"$54,999,651",1986
39,2640,Suspect X,"$54,846,110",2008
40,2641,St. Vincent,"$54,837,234",2014
41,2642,Doc Hollywood,"$54,830,779",1991
42,2643,The Three Stooges,"$54,819,301",2012
43,2644,For Your Eyes Only,"$54,812,802",1981
44,2645,The Crazies,"$54,806,823",2010
45,2646,Ordinary People,"$54,766,923",1980
46,2647,Driven,"$54,744,738",2001
47,2648,The Punisher,"$54,700,105",2004
48,2649,Open Water,"$54,683,487",2004
49,2650,Small Soldiers,"$54,682,547",1998
50,2651,Go Brother!,"$54,663,060",2018
51,2652,"Good Night, and Good Luck.","$54,641,191",2005
52,2653,The Hot Chick,"$54,639,553",2002
53,2654,Early Man,"$54,622,814",2018
54,2655,Milk,"$54,589,558",2008
55,2656,The Cat Returns,"$54,505,478",2002
56,2657,The Age of Shadows,"$54,491,162",2016
57,2658,No Escape,"$54,418,872",2015
58,2659,No Good Deed,"$54,323,210",2014
59,2660,Varsity Blues,"$54,294,169",1999
60,2661,Mickey Blue Eyes,"$54,264,342",1999
61,2662,Domestic Disturbance,"$54,249,294",2001
62,2663,La Bamba,"$54,215,416",1987
63,2664,The Five-Year Engagement,"$54,169,363",2012
64,2665,Tyler Perry's Madea's Big Happy Family,"$54,161,287",2011
65,2666,A Ghost of a Chance,"$54,084,009",2011
66,2667,Nine,"$54,004,950",2009
67,2668,The Verdict,"$53,993,738",1982
68,2669,"I, Tonya","$53,939,297",2017
69,2670,Peppermint,"$53,918,723",2018
70,2671,The Three Musketeers,"$53,898,845",1993
71,2672,Long Shot,"$53,873,809",2019
72,2673,Tin Cup,"$53,854,588",1996
73,2674,1987: When the Day Comes,"$53,833,618",2017
74,2675,Sabrina,"$53,696,278",1995
75,2676,Stranger Than Fiction,"$53,653,224",2006
76,2677,Overheard 3,"$53,493,428",2014
77,2678,10 Things I Hate About You,"$53,478,166",1999
78,2679,Bounce,"$53,425,292",2000
79,2680,Supercondriaque,"$53,425,036",2014
80,2681,RoboCop,"$53,424,681",1987
81,2682,Tyler Perry's A Madea Christmas,"$53,396,635",2013
82,2683,Sinister 2,"$53,329,150",2015
83,2684,Æon Flux,"$53,321,673",2005
84,2685,Little White Lies,"$53,319,615",2010
85,2686,A Chinese Odyssey: Part Three,"$53,306,108",2016
86,2687,Radio,"$53,293,628",2003
87,2688,Papillon,"$53,267,000",1973
88,2689,3 Days to Kill,"$53,260,230",2014
89,2690,Arachnophobia,"$53,208,180",1990
90,2691,Pitch Black,"$53,187,659",2000
91,2692,Temptation: Confessions of a Marriage Counselor,"$53,143,144",2013
92,2693,Delivery Man,"$53,120,346",2013
93,2694,Big Fat Liar,"$52,970,014",2002
94,2695,The Outlaws,"$52,946,454",2017
95,2696,Untraceable,"$52,933,513",2008
96,2697,Das perfekte Geheimnis,"$52,928,345",2019
97,2698,Detective Conan: Sunflowers of Inferno,"$52,920,296",2015
98,2699,Outrageous Fortune,"$52,864,741",1987
99,2700,Pooh's Heffalump Movie,"$52,858,433",2005
100,2701,From Paris with Love,"$52,844,496",2010
