,Rank,Title,Lifetime Gross,Year
0,3801,Stuber,"$32,390,945",2019
1,3802,Detective K: Secret of Virtuous Widow,"$32,358,664",2011
2,3803,Alpha Dog,"$32,351,125",2007
3,3804,The Wave,"$32,350,637",2008
4,3805,Hit Me Anyone One More Time!,"$32,333,512",2019
5,3806,Nothing in Common,"$32,324,557",1986
6,3807,The Muppet Christmas Carol,"$32,319,318",1992
7,3808,Kevin Hart: Let Me Explain,"$32,318,051",2013
8,3809,Potiche,"$32,309,881",2010
9,3810,Pokémon,"$32,293,377",2013
10,3811,Hart's War,"$32,287,044",2002
11,3812,The Age of Innocence,"$32,255,440",1993
12,3813,Seven Psychopaths,"$32,226,382",2012
13,3814,The Lost Boys,"$32,222,567",1987
14,3815,Somewhere Winter,"$32,218,990",2019
15,3816,The Bad News Bears,"$32,211,330",1976
16,3817,Silverado,"$32,192,570",1985
17,3818,Reindeer Games,"$32,168,970",2000
18,3819,The After-Dinner Mysteries,"$32,160,741",2013
19,3820,Alien Nation,"$32,155,047",1988
20,3821,The Kid Who Would Be King,"$32,140,970",2019
21,3822,Amazing Grace,"$32,120,360",2007
22,3823,April Bride,"$32,112,343",2009
23,3824,The Suspect: Muroi Shinji,"$32,104,229",2005
24,3825,The Lawnmower Man,"$32,100,816",1992
25,3826,The Accused,"$32,078,318",1988
26,3827,Battle Ground 625,"$32,065,527",2005
27,3828,You Again,"$32,054,369",2010
28,3829,Copycat,"$32,051,917",1995
29,3830,Leaving Las Vegas,"$32,029,928",1995
30,3831,Two Tigers,"$32,001,580",2019
31,3832,Metro,"$32,000,301",1997
32,3833,Psycho,"$32,000,000",1960
33,3834,Os Dez Mandamentos - O Filme,"$31,998,251",2016
34,3835,Dilwale,"$31,994,323",2015
35,3836,Stick It,"$31,976,848",2006
36,3837,Suffragette,"$31,972,096",2015
37,3838,The Floating Castle,"$31,967,471",2012
38,3839,The Neighbors,"$31,949,315",2012
39,3840,Hunting and Gathering,"$31,920,899",2007
40,3841,All About Me,"$31,920,159",2018
