,Rank,Title,Lifetime Gross,Year
0,1801,Season of the Witch,"$91,627,228",2011
1,1802,Crawl,"$91,542,097",2019
2,1803,Five Feet Apart,"$91,522,094",2019
3,1804,Friday the 13th,"$91,509,154",2009
4,1805,Rambo: Last Blood,"$91,490,353",2019
5,1806,Back to School,"$91,258,000",1986
6,1807,Overboard,"$91,244,913",2018
7,1808,White Noise,"$91,196,419",2005
8,1809,The Karate Kid,"$91,077,276",1984
9,1810,Romeo Must Die,"$91,036,760",2000
10,1811,Final Destination 2,"$90,941,129",2003
11,1812,Paranormal Activity: The Marked Ones,"$90,894,962",2014
12,1813,Fantasia 2000,"$90,874,570",2000
13,1814,Drag Me to Hell,"$90,842,646",2009
14,1815,Racing Stripes,"$90,754,475",2005
15,1816,White Men Can't Jump,"$90,753,806",1992
16,1817,Autumn in New York,"$90,726,668",2000
17,1818,Galaxy Quest,"$90,683,916",1999
18,1819,Anchorman: The Legend of Ron Burgundy,"$90,649,730",2004
19,1820,My Big Fat Greek Wedding 2,"$90,632,641",2016
20,1821,Madea Goes to Jail,"$90,508,336",2009
21,1822,Sherlock Gnomes,"$90,497,778",2018
22,1823,Bring It On,"$90,449,929",2000
23,1824,Trading Places,"$90,404,800",1983
24,1825,Bedazzled,"$90,383,208",2000
25,1826,Jojo Rabbit,"$90,335,025",2019
26,1827,Red Riding Hood,"$90,260,376",2011
27,1828,Identity,"$90,259,536",2003
28,1829,Detective Dee: The Four Heavenly Kings,"$90,040,771",2018
29,1830,The Abyss,"$90,000,098",1989
30,1831,Sucker Punch,"$89,792,502",2011
31,1832,Burlesque,"$89,519,773",2010
32,1833,The Hundred-Foot Journey,"$89,514,453",2014
33,1834,The Long Kiss Goodnight,"$89,456,761",1996
34,1835,Stigmata,"$89,446,268",1999
35,1836,The Host,"$89,433,436",2006
36,1837,The Purge,"$89,328,627",2013
37,1838,Father of the Bride,"$89,325,780",1991
38,1839,The Nightmare Before Christmas,"$89,140,058",1993
39,1840,The Last Song,"$89,137,047",2010
40,1841,Transporter 2,"$89,083,229",2005
41,1842,Rumor Has It...,"$88,933,562",2005
42,1843,Kangaroo Jack,"$88,929,111",2003
43,1844,The Inbetweeners,"$88,823,111",2011
44,1845,The Cider House Rules,"$88,545,092",1999
45,1846,Collateral Beauty,"$88,528,280",2016
46,1847,The Chorus,"$88,385,944",2004
47,1848,Shanghai Knights,"$88,323,487",2003
48,1849,Line Walker,"$88,228,755",2016
49,1850,This Is 40,"$88,215,156",2012
50,1851,Rookies the Movie: Graduation,"$88,055,243",2009
51,1852,The Hand That Rocks the Cradle,"$88,036,683",1992
52,1853,Dhoom 3,"$88,031,955",2013
53,1854,Jaws 3-D,"$87,987,055",1983
54,1855,Chasing the Dragon,"$87,965,942",2017
55,1856,Deliver Us from Evil,"$87,937,815",2014
56,1857,The Illusionist,"$87,892,388",2006
57,1858,Spawn,"$87,840,042",1997
58,1859,Ali,"$87,812,729",2001
59,1860,State of Play,"$87,812,371",2009
60,1861,Gosford Park,"$87,754,044",2001
61,1862,RV,"$87,528,173",2006
62,1863,Bicentennial Man,"$87,423,861",1999
63,1864,Peter Pan,"$87,404,651",1953
64,1865,Tiger Zinda Hai,"$87,320,000",2017
65,1866,Pain & Gain,"$87,305,549",2013
66,1867,Epic Movie,"$87,238,158",2007
67,1868,A Million Ways to Die in the West,"$87,189,756",2014
68,1869,Old School,"$87,135,520",2003
69,1870,The Shaggy Dog,"$87,134,280",2006
70,1871,The Thieves,"$87,129,910",2012
71,1872,About Time,"$87,100,449",2013
72,1873,American Dreams in China,"$87,097,067",2013
73,1874,Max Payne,"$87,066,930",2008
74,1875,The Kingdom,"$87,019,158",2007
75,1876,The Tale of Despereaux,"$86,957,280",2008
76,1877,The Naked Gun 2½: The Smell of Fear,"$86,930,411",1991
77,1878,"Hello, Mrs. Money","$86,874,070",2018
78,1879,Dinner for Schmucks,"$86,855,739",2010
79,1880,Snowpiercer,"$86,758,912",2013
80,1881,The Lincoln Lawyer,"$86,752,352",2011
81,1882,Romancing the Stone,"$86,572,238",1984
82,1883,Robin Hood,"$86,489,031",2018
83,1884,Tears of the Sun,"$86,468,162",2003
84,1885,The Amityville Horror,"$86,432,000",1979
