,Rank,Title,Lifetime Gross,Year
0,10001,Bañeros 4: Los rompeolas,"$5,176,467",2014
1,10002,Two Faces of My Girlfriend,"$5,175,448",2007
2,10003,Intermission,"$5,175,215",2003
3,10004,Skoryy 'Moskva-Rossiya',"$5,173,335",2014
4,10005,S.O.S.: Women to the Sea 2,"$5,169,793",2015
5,10006,My Wife Is an Actress,"$5,169,438",2001
6,10007,The Scythian Lamb,"$5,168,006",2018
7,10008,Prince,"$5,167,952",2008
8,10009,Student Bodies,"$5,165,432",1981
9,10010,The House of Mirth,"$5,164,404",2000
10,10011,Captain Sabertooth and the Treasure of Lama Rama,"$5,162,886",2014
11,10012,Qué le dijiste a Dios?,"$5,161,905",2014
12,10013,MI-5,"$5,161,464",2015
13,10014,Emil and the Detectives,"$5,157,824",2001
14,10015,Anatomy 2,"$5,152,549",2003
15,10016,Brillantissime,"$5,151,817",2018
16,10017,Ironclad,"$5,151,023",2011
17,10018,Arang,"$5,150,498",2006
18,10019,All You Need Is Love,"$5,150,261",2014
19,10020,Outcast,"$5,148,503",2014
20,10021,I'm Underage But I'm Not a Child,"$5,146,046",2017
21,10022,Jack the Bear,"$5,145,823",1993
22,10023,Rabbit Hole,"$5,144,717",2010
23,10024,The Hotel New Hampshire,"$5,142,858",1984
24,10025,The Thief Lord,"$5,141,916",2006
25,10026,Grind,"$5,141,166",2003
26,10027,The Legend of Chupacabras,"$5,138,140",2016
27,10028,Butch and Sundance: The Early Days,"$5,136,913",1979
28,10029,The Object of Beauty,"$5,136,759",1991
29,10030,Don Quixote,"$5,132,495",2010
30,10031,Never to Lose,"$5,129,751",2005
31,10032,Deliha 2,"$5,129,480",2018
32,10033,NVA,"$5,128,614",2005
33,10034,Payoff,"$5,127,899",2003
34,10035,The Haunting in Connecticut 2: Ghosts of Georgia,"$5,127,434",2013
35,10036,Heidi's Song,"$5,124,391",1982
36,10037,Lorna's Silence,"$5,123,676",2008
37,10038,Jak poslubic milionera,"$5,121,361",2019
38,10039,Love Aaj Kal,"$5,120,794",2020
39,10040,Together,"$5,120,000",2013
40,10041,Pettson & Findus - Tomtemaskinen,"$5,115,606",2005
41,10042,King David,"$5,111,099",1985
42,10043,The Hovering Blade,"$5,111,040",2009
43,10044,Poongsan,"$5,110,929",2011
44,10045,Kamen Rider Ex-Aid: True Ending,"$5,107,923",2017
45,10046,Solo,"$5,107,669",1996
46,10047,Kamen byôtô,"$5,106,794",2020
47,10048,The Professor and the Madman,"$5,105,195",2019
