,Rank,Title,Lifetime Gross,Year
0,9801,G@me,"$5,460,574",2003
1,9802,That's a Crazy Little Thing Called Love,"$5,459,981",2016
2,9803,Frozen River,"$5,457,664",2008
3,9804,125 Years Memory,"$5,453,160",2015
4,9805,Thank You,"$5,452,347",2011
5,9806,Day of the Falcon,"$5,452,142",2011
6,9807,Eve of Destruction,"$5,451,119",1991
7,9808,Troll,"$5,450,815",1986
8,9809,Last Letter,"$5,448,142",2020
9,9810,OK Jaanu,"$5,445,281",2017
10,9811,Fly with the Gold,"$5,443,725",2012
11,9812,Precure All Stars the Movie: Everyone Sing Miraculous Magic!,"$5,440,957",2016
12,9813,Stay Away from Me,"$5,440,949",2013
13,9814,Gray Lady Down,"$5,438,927",1978
14,9815,Clover,"$5,438,177",2014
15,9816,Hara-Kiri: Death of a Samurai,"$5,435,358",2011
16,9817,An Inconvenient Sequel: Truth to Power,"$5,433,926",2017
17,9818,Tagore,"$5,433,601",2003
18,9819,Split Second,"$5,430,822",1992
19,9820,The Negotiator: The Movie,"$5,429,651",2010
20,9821,Groupies bleiben nicht zum Frühstück,"$5,428,839",2010
21,9822,What a Day!,"$5,428,592",2017
22,9823,Devdas,"$5,427,830",2002
23,9824,The Meddler,"$5,425,148",2004
24,9825,Lifeguard,"$5,424,178",1976
25,9826,Børning 2,"$5,419,664",2016
26,9827,Crossing,"$5,419,301",2008
27,9828,Lyogok na pomine,"$5,418,225",2014
28,9829,Belle Epoque,"$5,418,216",1994
29,9830,The Salt of the Earth,"$5,412,189",2014
30,9831,The Student and Mister Henri,"$5,411,932",2015
31,9832,Meatballs Part II,"$5,410,972",1984
32,9833,Virgin Territory,"$5,410,749",2008
33,9834,Samurai's Promise,"$5,410,153",2018
34,9835,Flight from Hell,"$5,410,000",2014
35,9836,Happy Heroes,"$5,410,000",2013
36,9837,The Sicilian,"$5,406,879",1987
37,9838,Dangerous Ground,"$5,406,742",1997
38,9839,The Royal Tailor,"$5,406,469",2014
39,9840,Dolls,"$5,405,725",2002
40,9841,After the Rain,"$5,403,417",2018
41,9842,One Direction: Where We Are - The Concert Film,"$5,401,797",2014
42,9843,Lady Macbeth,"$5,401,447",2017
43,9844,Prince Vladimir,"$5,399,826",2006
44,9845,Una Mujer Sin Filtro,"$5,399,330",2018
45,9846,The Lost Bladesman,"$5,398,324",2011
46,9847,Ask Sana Benzer,"$5,398,127",2015
47,9848,October Baby,"$5,396,618",2011
48,9849,Knock,"$5,394,474",2017
49,9850,Read My Lips,"$5,393,526",2001
50,9851,Exit Through the Gift Shop,"$5,386,242",2010
51,9852,Truth,"$5,383,097",2015
52,9853,After the Storm,"$5,382,886",2016
53,9854,Kray,"$5,380,142",2010
54,9855,Blutzbrüdaz,"$5,378,651",2011
55,9856,Dampfnudelblues,"$5,378,537",2013
56,9857,Won't Back Down,"$5,378,228",2012
57,9858,Orlando,"$5,377,643",1993
58,9859,Sergeant Keroro the Super Movie,"$5,374,376",2006
59,9860,Time You Change,"$5,372,702",2010
60,9861,The Lookout,"$5,371,181",2007
61,9862,Simhadri,"$5,369,273",2003
62,9863,Second Sight,"$5,368,865",1989
63,9864,Lost in the Pacific,"$5,368,535",2016
64,9865,Equilibrium,"$5,368,217",2002
65,9866,Skalolazka and the Latter from the Seventh Cradle,"$5,367,570",2007
66,9867,3 amis,"$5,365,206",2007
67,9868,I'll Show You!,"$5,364,795",2006
68,9869,Life Is a Miracle,"$5,363,574",2004
69,9870,Naked Normandy,"$5,360,820",2018
70,9871,Bullit & Riper,"$5,357,190",2003
71,9872,Reunion,"$5,352,683",2015
72,9873,La Leyenda del Charro Negro,"$5,351,716",2018
73,9874,One Night Only,"$5,350,348",2016
74,9875,Creator,"$5,349,607",1985
75,9876,The Real Cancun,"$5,345,083",2003
76,9877,Monkey Shines,"$5,344,577",1988
