,Rank,Title,Lifetime Gross,Year
0,9601,Wisdom,"$5,715,174",1987
1,9602,Who's Your Caddy?,"$5,713,425",2007
2,9603,11 A.M.,"$5,713,402",2013
3,9604,The Viral Factor,"$5,712,014",2012
4,9605,Surrender,"$5,711,976",1987
5,9606,Screamers,"$5,711,695",1996
6,9607,Catch a Fire,"$5,710,236",2006
7,9608,Saaho,"$5,708,522",2019
8,9609,My Best Friend's Wedding,"$5,707,770",2016
9,9610,Sweet Alibis,"$5,707,253",2014
10,9611,Akumu Chan the Movie,"$5,707,018",2014
11,9612,The Haunted House: The Sky Ghost VS Jormungandr,"$5,705,509",2019
12,9613,Santa's Apprentice,"$5,705,323",2010
13,9614,Fun Movie,"$5,704,616",2002
14,9615,My New Sassy Girl,"$5,701,519",2016
15,9616,Vincere,"$5,701,481",2009
16,9617,O Simdi Asker,"$5,701,267",2003
17,9618,7 Virgins,"$5,700,722",2005
18,9619,Buddha: The Great Departure,"$5,700,005",2011
19,9620,The Summit,"$5,699,056",2017
20,9621,Poison Berry in My Brain,"$5,697,583",2015
21,9622,The Island,"$5,696,912",2009
22,9623,A Messenger from Heaven,"$5,696,781",2013
23,9624,The Kings of Mykonos,"$5,696,661",2010
24,9625,Under Fire,"$5,696,391",1983
25,9626,Superheroes,"$5,692,116",2010
26,9627,Phineas and Ferb the Movie: Candace Against the Universe,"$5,689,121",2011
27,9628,Kundun,"$5,684,789",1997
28,9629,Eiga! Tamagotchi: Uchû ichi happy na monogatari!?,"$5,684,606",2008
29,9630,No Filter,"$5,682,744",2019
30,9631,Solitary Man,"$5,682,554",2010
31,9632,I Love Hong Kong 2013,"$5,682,465",2013
32,9633,Cold Comfort Farm,"$5,682,429",1996
33,9634,Eight Men Out,"$5,680,515",1988
34,9635,Hear No Evil,"$5,679,569",1993
35,9636,Smokey and the Bandit Part 3,"$5,678,950",1983
36,9637,Cuban Fury,"$5,678,942",2014
37,9638,Megaforce,"$5,675,599",1982
38,9639,Balls,"$5,674,287",2010
39,9640,Down in the Delta,"$5,672,903",1998
40,9641,Personal Best,"$5,672,311",1982
41,9642,My Bloody Valentine,"$5,672,031",1981
42,9643,Wish I Was Here,"$5,670,776",2014
43,9644,Nadine,"$5,669,831",1987
44,9645,Scoop!,"$5,669,344",2016
45,9646,Knight Rusty,"$5,669,013",2013
46,9647,Fung wan II,"$5,668,356",2009
47,9648,The Sovereign's Servant,"$5,668,177",2007
48,9649,Mission Mangal,"$5,667,057",2019
49,9650,The Pact,"$5,664,404",2012
50,9651,Matrimonio a Parigi,"$5,661,517",2011
51,9652,A Chance Encounter,"$5,661,247",2014
52,9653,The Finishers,"$5,660,973",2014
53,9654,Anomalisa,"$5,659,286",2015
54,9655,The Lies She Loved,"$5,657,262",2018
55,9656,The Pallbearer,"$5,656,388",1996
56,9657,The Icebreaker,"$5,653,694",2016
57,9658,Matando Cabos,"$5,653,093",2004
58,9659,Mister Twister Goes Camping,"$5,651,752",2013
59,9660,The Right Mistake,"$5,650,000",2015
60,9661,Don't Stop Me Now,"$5,646,793",2019
61,9662,Incident in a Ghostland,"$5,643,957",2018
62,9663,Antique,"$5,643,207",2008
63,9664,The Burning Plain,"$5,642,478",2008
64,9665,Inuyashiki,"$5,638,796",2018
65,9666,Things to Come,"$5,638,693",2016
66,9667,F.C. De Kampioenen 2: Jubilee general,"$5,635,272",2015
67,9668,Batman: Mask of the Phantasm,"$5,635,204",1993
68,9669,Pagalpanti,"$5,633,633",2019
69,9670,Wazir,"$5,633,588",2016
70,9671,Swing Kids,"$5,632,086",1993
71,9672,"April, May en June","$5,628,939",2019
72,9673,What a Beautiful Surprise,"$5,626,528",2015
73,9674,Phantoms,"$5,624,282",1998
74,9675,How to Break Up with Your Douchebag,"$5,623,811",2017
75,9676,Dalida,"$5,623,134",2017
76,9677,Avenging Angel,"$5,622,787",1985
77,9678,Mother and Child,"$5,621,971",2010
78,9679,The Frozen Ground,"$5,617,460",2013
79,9680,"I, Cesar","$5,616,895",2003
80,9681,Il était une fois dans l'oued,"$5,611,887",2005
81,9682,Cuba,"$5,610,280",1979
82,9683,Ah Boys to Men 3: Frogmen,"$5,607,373",2015
83,9684,The Source,"$5,605,676",2011
84,9685,El Angel,"$5,604,680",2018
85,9686,Indochine,"$5,603,158",1992
86,9687,Platon,"$5,600,325",2008
87,9688,Une vie à t'attendre,"$5,598,380",2004
88,9689,The Party,"$5,597,950",2017
89,9690,Elvira: Mistress of the Dark,"$5,596,267",1988
90,9691,Islands in the Stream,"$5,596,173",1977
91,9692,Tamara,"$5,595,545",2016
92,9693,A Fish Tale,"$5,595,327",2001
93,9694,What Goes Around,"$5,590,871",2009
94,9695,Mustafa,"$5,589,390",2008
