,Rank,Title,Lifetime Gross,Year
0,7201,Thread of Lies,"$10,522,797",2014
1,7202,Get Low,"$10,522,511",2010
2,7203,Black Widow Business,"$10,504,345",2016
3,7204,Até Que a Sorte nos Separe 3: A Falência Final,"$10,502,937",2015
4,7205,Anatomie,"$10,501,958",2000
5,7206,Incognito,"$10,501,085",2009
6,7207,Bulkkocheolum Nabicheolum,"$10,499,992",2009
7,7208,American Ninja,"$10,499,694",1985
8,7209,Iron Eagle II,"$10,497,324",1988
9,7210,I Am Dragon,"$10,495,305",2015
10,7211,Home Fries,"$10,493,366",1998
11,7212,Silent Rage,"$10,490,791",1982
12,7213,Ilya and the Robber,"$10,490,651",2007
13,7214,Light of Day,"$10,489,617",1987
14,7215,The Little House,"$10,488,932",2014
15,7216,"Nie klam, kochanie","$10,485,836",2008
16,7217,Intimate Strangers,"$10,485,817",2004
17,7218,Camp Nowhere,"$10,475,705",1994
18,7219,The Leisure Seeker,"$10,472,180",2017
19,7220,Me and My Sister,"$10,467,048",2004
20,7221,The Cooler,"$10,464,788",2003
21,7222,The Hole,"$10,457,002",2010
22,7223,"Och, Karol 2","$10,455,379",2011
23,7224,Gintama: The Movie,"$10,453,259",2010
24,7225,No Longer Human,"$10,452,114",2019
25,7226,The Newton Boys,"$10,452,012",1998
26,7227,Kod apokalipsisa,"$10,446,654",2007
27,7228,A Rage in Harlem,"$10,438,504",1991
28,7229,Mood Indigo,"$10,435,322",2013
29,7230,Thief of Hearts,"$10,435,015",1984
30,7231,Furious,"$10,433,259",2017
31,7232,Interiors,"$10,432,366",1978
32,7233,The Brothers McMullen,"$10,426,506",1995
33,7234,I'll Do Anything,"$10,424,645",1994
34,7235,My Name Ain't Johnny,"$10,422,746",2008
35,7236,Every Day,"$10,421,847",2018
36,7237,Initiation Love,"$10,416,510",2015
37,7238,My Paparotti,"$10,416,126",2013
38,7239,The Black Devil and the White Prince,"$10,415,892",2016
39,7240,The Perfect Match,"$10,414,738",2016
40,7241,Savannah Smiles,"$10,413,170",1982
41,7242,Il 7 e l'8,"$10,412,376",2007
42,7243,The Virgin Suicides,"$10,409,377",2000
43,7244,Operation Condor,"$10,405,394",1997
44,7245,Fiddler on the Roof,"$10,404,330",1971
45,7246,Udon,"$10,399,075",2006
46,7247,Swing Kids,"$10,397,408",2018
47,7248,A Touch of Spice,"$10,395,779",2003
48,7249,Shin Chan: The Adult Empire Strikes Back,"$10,392,896",2003
49,7250,Stardust Memories,"$10,389,003",1980
50,7251,The Scarlet Letter,"$10,382,407",1995
51,7252,Eiga Sumairu Purikyua!: Ehon no naka wa minna chiguhagu!,"$10,379,456",2012
52,7253,Doctor Detroit,"$10,375,893",1983
53,7254,Lobster Cop,"$10,373,129",2018
54,7255,Town & Country,"$10,372,291",2001
55,7256,A Dirty Carnival,"$10,371,998",2006
56,7257,Harry Brown,"$10,371,451",2009
57,7258,Deal of the Century,"$10,369,581",1983
58,7259,The Caiman,"$10,369,396",2006
59,7260,Howling,"$10,368,295",2012
60,7261,Queen of Katwe,"$10,367,161",2016
61,7262,Wasabi,"$10,366,360",2001
62,7263,Connected,"$10,365,850",2008
63,7264,Rzhevskiy protiv Napoleona,"$10,365,684",2012
64,7265,Fünf Freunde 3,"$10,362,820",2014
65,7266,The Witches,"$10,360,553",1990
66,7267,Möbius,"$10,357,345",2013
67,7268,The Man with Two Brains,"$10,353,438",1983
68,7269,Tot eshchyo Karloson!,"$10,353,078",2012
69,7270,Disorderlies,"$10,348,437",1987
70,7271,"Where'd You Go, Bernadette","$10,347,840",2019
71,7272,Look Who's Talking Now,"$10,340,263",1993
72,7273,Street Dancer 3D,"$10,339,127",2020
73,7274,Code Name: The Cleaner,"$10,337,477",2007
74,7275,Yo-kai Watch: Forever Friends,"$10,336,365",2018
75,7276,Money Trap,"$10,327,763",2019
76,7277,Bibi Blocksberg,"$10,325,928",2002
77,7278,Loup,"$10,324,341",2009
78,7279,25 km/h,"$10,323,404",2018
79,7280,Knock Off,"$10,319,915",1998
80,7281,Climbers High,"$10,319,706",2008
81,7282,I Got the Hook Up,"$10,317,779",1998
82,7283,Crows Explode,"$10,315,875",2014
83,7284,Hide and Seek,"$10,315,084",2016
84,7285,Kin,"$10,313,019",2018
85,7286,The Babadook,"$10,312,540",2014
86,7287,3-D Sex and Zen: Extreme Ecstasy,"$10,308,238",2011
87,7288,Facing the Giants,"$10,307,987",2006
88,7289,Stone,"$10,300,416",2010
89,7290,Star Watching Dog,"$10,298,964",2011
90,7291,Better Off Dead...,"$10,297,601",1985
91,7292,White Squall,"$10,292,300",1996
92,7293,Galaxy Kaidô,"$10,291,672",2015
93,7294,Kamen Rider Heisei Generations Final: Build & Ex-Aid with Legend Riders,"$10,289,397",2017
94,7295,The Devil's Game,"$10,287,987",2008
95,7296,If Cats Disappeared from the World,"$10,284,664",2016
96,7297,Crazy New Year's Eve,"$10,280,378",2015
97,7298,The Year of Living Dangerously,"$10,278,575",1983
98,7299,Someone to Watch Over Me,"$10,278,549",1987
99,7300,Married for 7 Years,"$10,278,225",2003
100,7301,Saved!,"$10,275,509",2004
