,Rank,Title,Lifetime Gross,Year
0,7801,Truman,"$9,027,600",2015
1,7802,Demon Empire,"$9,026,898",2006
2,7803,The Legend of Pig Warrior,"$9,023,944",2019
3,7804,Target,"$9,023,199",1985
4,7805,Trippin',"$9,017,070",1999
5,7806,"Two Days, One Night","$9,016,922",2014
6,7807,Renegades,"$9,015,164",1989
7,7808,Marshland,"$9,014,591",2014
8,7809,Frances Ha,"$9,013,161",2013
9,7810,Ducoboo 2: Crazy Vacation,"$9,013,064",2012
10,7811,White Sands,"$9,011,574",1992
11,7812,Super Hero War Z: Kamen Rider vs. Super Sentai vs. Space Sheriff,"$9,008,864",2013
12,7813,Monica Z,"$9,004,094",2013
13,7814,Saturn 3,"$9,000,000",1980
14,7815,Tribute,"$9,000,000",1980
15,7816,Chef's Special,"$8,997,644",2008
16,7817,Three Many Weddings,"$8,996,139",2013
17,7818,Deadly Friend,"$8,988,731",1986
18,7819,Comedy of Power,"$8,987,781",2006
19,7820,Mannam-eui Gwangjang,"$8,983,080",2007
20,7821,Super Express,"$8,980,243",2016
21,7822,Dog × Police: The K-9 Force,"$8,976,044",2011
22,7823,We Are So Young,"$8,975,573",2013
23,7824,Breaking and Entering,"$8,974,829",2006
24,7825,Champion,"$8,974,547",2018
25,7826,"Neuilly sa mère, sa mère!","$8,970,297",2018
26,7827,Secret,"$8,968,358",2007
27,7828,Perfect Game,"$8,960,806",2011
28,7829,Teaching Mrs. Tingle,"$8,951,935",1999
29,7830,The Closet,"$8,948,595",2020
30,7831,How About Adolf?,"$8,947,326",2018
31,7832,The Lawyers - A German Story,"$8,944,720",2009
32,7833,Ong Bak 2,"$8,936,663",2008
33,7834,Man of Men,"$8,936,453",2019
34,7835,Murder at Shijinso,"$8,934,857",2019
35,7836,Thesis on a Homicide,"$8,932,920",2013
36,7837,The Perfect Date,"$8,927,094",2010
37,7838,In the Mouth of Madness,"$8,924,549",1995
38,7839,Bolero,"$8,914,881",1984
39,7840,Kandahar,"$8,914,751",2001
40,7841,Jackie,"$8,912,742",2012
41,7842,Late for Dinner,"$8,906,823",1991
42,7843,Bibi & Tina,"$8,906,168",2014
43,7844,Downhill,"$8,899,195",2020
44,7845,The Formula,"$8,894,289",1980
45,7846,Salsa,"$8,892,589",1988
46,7847,"Mystery, Alaska","$8,891,623",1999
47,7848,Cadillac Records,"$8,883,644",2008
48,7849,Hannah Arendt,"$8,880,936",2013
49,7850,The Inkwell,"$8,880,705",1994
50,7851,White Fang 2: Myth of the White Wolf,"$8,878,839",1994
51,7852,Running Man,"$8,873,200",2013
52,7853,The Art of Loving. Story of Michalina Wislocka,"$8,869,345",2017
53,7854,The Last Temptation of Christ,"$8,865,702",1988
54,7855,Gromkaya svyaz,"$8,864,882",2019
55,7856,Apt Pupil,"$8,863,193",1998
56,7857,Nightbreed,"$8,862,354",1990
57,7858,Bluebeard,"$8,855,737",2017
58,7859,The Anthem of the Heart,"$8,852,989",2015
59,7860,Après Vous,"$8,852,763",2003
60,7861,Lilly the Witch: The Journey to Mandolan,"$8,851,385",2011
61,7862,Rang De Basanti,"$8,846,694",2006
62,7863,Battle for the Planet of the Apes,"$8,844,595",1973
63,7864,The Legend of the Christmas Witch,"$8,843,216",2018
64,7865,Castle Under Fiery Skies,"$8,839,902",2009
65,7866,Cold War,"$8,839,331",2012
66,7867,Infernal Affairs,"$8,836,958",2002
67,7868,All Together,"$8,835,903",2012
68,7869,Dragon Tiger Gate,"$8,830,435",2006
69,7870,Happy Little Submarine 3: Rainbow Treasure,"$8,830,000",2013
70,7871,Soof,"$8,829,814",2013
71,7872,The Reef 2: High Tide,"$8,829,781",2012
72,7873,A Bold Family,"$8,828,738",2005
73,7874,Speckles: The Tarbosaurus,"$8,828,562",2012
74,7875,Get the Gringo,"$8,826,837",2012
75,7876,Famous Five 2,"$8,813,759",2013
76,7877,Kikoriki: Team Invincible,"$8,809,536",2011
77,7878,Morgan,"$8,809,407",2016
78,7879,The Rocker,"$8,808,935",2008
79,7880,Captive State,"$8,808,611",2019
80,7881,Sunshine on Leith,"$8,804,555",2013
81,7882,A Samurai Chronicle,"$8,804,424",2014
