,Rank,Title,Lifetime Gross,Year
0,1001,Seven Pounds,"$169,748,929",2008
1,1002,Meet the Robinsons,"$169,333,034",2007
2,1003,The Emperor's New Groove,"$169,327,687",2000
3,1004,12 Monkeys,"$168,839,459",1995
4,1005,Dodgeball,"$168,423,227",2004
5,1006,Hellboy II: The Golden Army,"$168,319,243",2008
6,1007,Insidious: The Last Key,"$167,885,588",2018
7,1008,Fantastic Four,"$167,882,881",2015
8,1009,Unstoppable,"$167,805,466",2010
9,1010,Three Men and a Baby,"$167,780,960",1987
10,1011,Magic Mike,"$167,739,368",2012
11,1012,Princess Mononoke,"$167,693,877",1999
12,1013,Sheep Without a Shepherd,"$167,377,288",2019
13,1014,Alexander,"$167,298,192",2004
14,1015,Up in the Air,"$166,842,739",2009
15,1016,Nutty Professor II: The Klumps,"$166,339,890",2000
16,1017,Sleepers,"$165,615,285",1996
17,1018,Bridge of Spies,"$165,478,348",2015
18,1019,The Princess Diaries,"$165,335,153",2001
19,1020,The Muppets,"$165,184,237",2011
20,1021,The Huntsman: Winter's War,"$164,989,338",2016
21,1022,Saw III,"$164,874,275",2006
22,1023,Six Days Seven Nights,"$164,839,294",1998
23,1024,Bringing Down the House,"$164,729,679",2003
24,1025,Deep Blue Sea,"$164,648,142",1999
25,1026,Speed 2: Cruise Control,"$164,508,066",1997
26,1027,Daddy Day Care,"$164,433,867",2003
27,1028,Miami Vice,"$164,231,296",2006
28,1029,The Spiderwick Chronicles,"$164,170,327",2008
29,1030,The Pink Panther,"$164,115,897",2006
30,1031,Four Christmases,"$164,112,721",2008
31,1032,The Ring Two,"$163,995,949",2005
32,1033,From Vegas to Macau II,"$163,877,532",2015
33,1034,Burn After Reading,"$163,728,902",2008
34,1035,Pokémon: The First Movie - Mewtwo Strikes Back,"$163,644,662",1999
35,1036,The Happening,"$163,403,799",2008
36,1037,Talladega Nights: The Ballad of Ricky Bobby,"$163,362,095",2006
37,1038,World Trade Center,"$163,247,198",2006
38,1039,The Island,"$162,949,164",2005
39,1040,The Interpreter,"$162,944,923",2005
40,1041,Dick Tracy,"$162,738,726",1990
41,1042,27 Dresses,"$162,655,351",2008
42,1043,The Magnificent Seven,"$162,360,636",2016
43,1044,Memoirs of a Geisha,"$162,242,962",2005
44,1045,Eyes Wide Shut,"$162,242,684",1999
45,1046,Jack Reacher: Never Go Back,"$162,146,076",2016
46,1047,Insidious: Chapter 2,"$161,919,318",2013
47,1048,Limitless,"$161,849,455",2011
